None,Puma Boys Black Jacket,http://www.myntra.com/Jackets/Puma/Puma-Boys-Black-Jacket/213517/buy,Rs. 1,539,boys-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Puma-Boys-Black-Jacket_4329beb00821a2b051723a8488e8acad_images_1080_1440_mini.jpg,Rs. 2,199,None,boys,http://www.myntra.com/Jackets/Puma/Puma-Boys-Black-Jacket/213517/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '5-6Y', '7-8Y', '8-9Y', '9-10Y', '11-12Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>We adore this super smart jacket for boys by Puma. Team it with jeans and casual shoes for a street-style inspired ensemble.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black, lightly padded jacket with blue accents and embroidered branding at the left chest, has a mock collar, long sleeves with contrast ribbed cuffs, branding on one sleeve, has a concealed zip placket underneath a full buttoned placket, insert pockets at the front, contrast ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 100% polyester<br/>Lining: 100% polyester<br/>Padding: 100% polyester<br/>Rib: 97% polyester, 3% elastane<br/>Machine wash in lukewarm water</p></li></ul>,26:02:2014,None
None,Puma Boys Red Sleeveless Hooded Jacket,http://www.myntra.com/Jackets/Puma/Puma-Boys-Red-Sleeveless-Hooded-Jacket/207862/buy,Rs. 1,959,boys-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Puma-Boys-Jackets_ed5b1796757135accd8f4af788dd8150_images_1080_1440_mini.jpg,Rs. 2,799,None,boys,http://www.myntra.com/Jackets/Puma/Puma-Boys-Red-Sleeveless-Hooded-Jacket/207862/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '5-6Y', '7-8Y', '8-9Y', '9-10Y', '11-12Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>We adore this super smart jacket for boys by Puma. Team it with jeans and casual shoes for a street-style inspired ensemble.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red padded jacket, with blue accents and stitched detail, mock collar with detachable hood secured with press buttoned closures, full zipped placket on the front, sleeveless, stitched brand detail on the right chest and brand logo embroidery on the left chest, two zipped pockets at the front waist, contrast ribbed hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/>Machine wash</p></li></ul>,26:02:2014,None
None,Puma Boys Black Sweatshirt,http://www.myntra.com/Sweatshirts/Puma/Puma-Boys-Black-Sweatshirt/207879/buy,Rs. 699,boys-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Puma-Boys-Black-Sweatshirt_d263a4ab0fc4ab468b434055ac5cac3c_images_1080_1440_mini.jpg,Rs. 999,None,boys,http://www.myntra.com/Sweatshirts/Puma/Puma-Boys-Black-Sweatshirt/207879/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '5-6Y', '7-8Y', '9-10Y', '8-9Y', '11-12Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Style your little one this season with Puma’s collection. Make him beam by teaming it up with a pair of distressed jeans and low top sneakers.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black sweatshirt, knit, has a ribbed round neck with flat lock stitching below at the front, brand embroidery on the left chest, long sleeves with ribbed cuffs, ribbed hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 80% cotton, 20% polyester<br/>Rib: 95% cotton, 5% elastane<br/>Gentle machine wash</p></li></ul>,26:02:2014,None
None,Puma Boys Navy & Red Colour Blocked Sweater,http://www.myntra.com/Sweaters/Puma/Puma-Boys-Navy-&-Red-Colour-Blocked-Sweater/207877/buy,Rs. 1,049,boys-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Puma-Boys-Navy-&-Red-Colour-Blocked-Sweater_20a6817d8e6f5a61653eee3c01e8ad00_images_1080_1440_mini.jpg,Rs. 1,499,None,boys,http://www.myntra.com/Sweaters/Puma/Puma-Boys-Navy-&-Red-Colour-Blocked-Sweater/207877/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '5-6Y', '7-8Y', '9-10Y', '11-12Y', '8-9Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>In a classic hue, this sweater from Puma will add an instant style boost. Make your little one wear it with a pair of jeans and canvas shoes for a trendy urban look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy blue and red sweater, has ribbed V neck with striped detail, long raglan sleeves with ribbed cuffs, embroidered branding on the left sleeve and striped detail on the right sleeve, printed and patch detail on the left chest, ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Hand wash cold</p></li></ul>,26:02:2014,None
None,Puma Boys Navy Sleeveless Sweat Jacket,http://www.myntra.com/Jackets/Puma/Puma-Boys-Navy-Sleeveless-Sweat-Jacket/207856/buy,Rs. 1,119,boys-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Puma-Boys-Navy-Sleeveless-Sweat-Jacket_057ccd293d604882fa81b34cc063c9d3_images_1080_1440_mini.jpg,Rs. 1,599,None,boys,http://www.myntra.com/Jackets/Puma/Puma-Boys-Navy-Sleeveless-Sweat-Jacket/207856/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '5-6Y', '7-8Y', '8-9Y', '9-10Y', '11-12Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>We adore this super smart jacket for boys by Puma. Team it with jeans and casual shoes for a street-style inspired ensemble.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy blue jacket, with red and white accents, attached hood, full zipped placket on the front, sleeveless, brand print on the right chest and brand logo embroidery at left chest, two slant pockets with contrast binding at the front waist, back yoke, ribbed hemline with contrast stripes</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% cotton, 20% polyester<br/>Machine wash</p></li></ul>,26:02:2014,None
None,Puma Boys Navy Jacket,http://www.myntra.com/Jackets/Puma/Puma-Boys-Navy-Jacket/213516/buy,Rs. 1,539,boys-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Puma-Boys-Black-Jacket_65b2b9f1df20643962813249589d6913_images_1080_1440_mini.jpg,Rs. 2,199,None,boys,http://www.myntra.com/Jackets/Puma/Puma-Boys-Navy-Jacket/213516/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '5-6Y', '7-8Y', '8-9Y', '9-10Y', '11-12Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>We adore this super smart jacket for boys by Puma. Team it with jeans and casual shoes for a street-style inspired ensemble.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy blue, lightly padded jacket with red accents and embroidered branding at the left chest, has a mock collar, long sleeves with contrast ribbed cuffs, branding on one sleeve, has a concealed zip placket underneath a full buttoned placket, insert pockets at the front, contrast ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 100% polyester<br/>Lining: 100% polyester<br/>Padding: 100% polyester<br/>Rib: 97% polyester, 3% elastane<br/>Machine wash in lukewarm water</p></li></ul>,26:02:2014,None
None,Puma Boys Green & Navy Colour Blocked Sweater,http://www.myntra.com/Sweaters/Puma/Puma-Boys-Green-&-Navy-Colour-Blocked-Sweater/207878/buy,Rs. 1,049,boys-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Puma-Boys-Green-&-Navy-Colour-Blocked-Sweater_47e6a4a8212f85ca041e744dca9feff5_images_1080_1440_mini.jpg,Rs. 1,499,None,boys,http://www.myntra.com/Sweaters/Puma/Puma-Boys-Green-&-Navy-Colour-Blocked-Sweater/207878/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '5-6Y', '7-8Y', '9-10Y', '11-12Y', '8-9Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>In a classic hue, this sweater from Puma will add an instant style boost. Make your little one wear it with a pair of jeans and canvas shoes for a trendy urban look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green and navy blue sweater, has ribbed V neck with striped detail, long raglan sleeves with ribbed cuffs, embroidered branding on the left sleeve and striped detail on the right sleeve, printed and patch detail on the left chest, ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Hand wash cold</p></li></ul>,26:02:2014,None
None,Puma Boys Red Motor Sweat Hooded Jacket,http://www.myntra.com/Jackets/Puma/Puma-Boys-Red-Motor-Sweat-Hooded-Jacket/207859/buy,Rs. 1,539,boys-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Puma-Boys-Jackets_ae1ae00e905d2a1171a33f01a5bcd2c2_images_1080_1440_mini.jpg,Rs. 2,199,None,boys,http://www.myntra.com/Jackets/Puma/Puma-Boys-Red-Motor-Sweat-Hooded-Jacket/207859/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '5-6Y', '7-8Y', '8-9Y', '9-10Y', '11-12Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>We adore this super smart jacket for boys by Puma. Team it with jeans and casual shoes for a street-style inspired ensemble.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red jacket, with black accents, contrast stitched detail, attached hood, concealed full zipped closure with press buttoned placket on the front, long sleeves with patch at the elbow and ribbed cuffs, brand logo embroidery at left chest, two slant pockets at the front waist, printed detail at the back, ribbed hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% cotton, 20% polyester<br/>Machine wash</p></li></ul>,26:02:2014,None
None,Puma Boys Green Sleeveless Sweat Jacket,http://www.myntra.com/Jackets/Puma/Puma-Boys-Green-Sleeveless-Sweat-Jacket/207857/buy,Rs. 1,599,boys-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Puma-Boys-Green-Sleeveless-Sweat-Jacket_ddaf8730b7566af0932c56b849bf06bf_images_1080_1440_mini.jpg,None,None,boys,http://www.myntra.com/Jackets/Puma/Puma-Boys-Green-Sleeveless-Sweat-Jacket/207857/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '5-6Y', '7-8Y', '8-9Y', '9-10Y', '11-12Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>We adore this super smart jacket for boys by Puma. Team it with jeans and casual shoes for a street-style inspired ensemble.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green jacket, with black and orange accents, attached hood, full zipped placket on the front, sleeveless, brand print on the right chest and brand logo embroidery at left chest, two slant pockets with contrast binding at the front waist, back yoke, ribbed hemline with contrast stripes</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% cotton, 20% polyester<br/>Machine wash</p></li></ul>,26:02:2014,None
None,Puma Boys Red Reversible Sweat Jacket,http://www.myntra.com/Jackets/Puma/Puma-Boys-Red-Reversible-Sweat-Jacket/207860/buy,Rs. 1,539,boys-sweaters-sweatshirts-jackets,Sweaters,Puma,http://myntra.myntassets.com/images/style/properties/Puma-Boys-Red-Reversible-Sweat-Hooded-Jackets_96026b3bc7b26a7a814b70b44315baf6_images_1080_1440_mini.jpg,Rs. 2,199,None,boys,http://www.myntra.com/Jackets/Puma/Puma-Boys-Red-Reversible-Sweat-Jacket/207860/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3-4Y', '5-6Y', '11-12Y'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>We adore this super smart jacket for boys by Puma. Team it with jeans and casual shoes for a street-style inspired ensemble.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red reversible jacket<br/>Red, striped outer side, with black accents, attached hood, full zipped closure on the front, long sleeves with contrast ribbed cuffs, brand logo embroidery at left chest, two slant pockets at the front waist, contrast ribbed hemline<br/>Red, reverse side, with white and black accents, attached hood, full zipped closure on the front, long sleeves with contrast ribbed cuffs and branding on the right sleeve, brand logo embroidery at left chest, printed detail at the back, contrast ribbed hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% cotton, 20% polyester<br/>Machine wash</p></li></ul>,26:02:2014,None
