None,Adidas Unisex Blue Power II Backpack,http://www.myntra.com/Backpacks/Adidas/Adidas-Unisex-Blue-Power-II-Backpack/185984/buy,Rs. 1,539,men-accessories-new-arrivals,Accessories,Adidas,http://myntra.myntassets.com/images/style/properties/Adidas-Unisex-Blue-Power-II-Backpack_899f1067cdb0ab39c9dc76aad3787d0b_images_1080_1440_mini.jpg,Rs. 2,199,None,men,http://www.myntra.com/Backpacks/Adidas/Adidas-Unisex-Blue-Power-II-Backpack/185984/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Fun, style and comfort are what define Adidas's collection of backpacks. This stylish piece is cleverly designed to accommodate all your basic essentials in an organised manner with the many compartments. Sling it over your shoulders as you go about running errands.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black backpack with Adidas tri-stripes and branding on the front <br/>Padded and adjustable shoulder straps, fabric haul loop<br/>One main zipped compartment with an inner laptop holder<br/>Two mesh side pockets with elasticated near the mouth<br/>One external zipped pocket with an inner organiser sleeve<br/>Padded back<br/>Warranty: 3 months warranty against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 46 cm<br/>Width: 38 cm<br/>Depth: 14 cm<br/>The laptop compartment can hold up to a 16" laptop</p></li></ul>,26:02:2014,None
None,Adidas Unisex Black Cap,http://www.myntra.com/Caps/Adidas/Adidas-Unisex-Black-Cap/25708/buy,Rs. 679,men-accessories-new-arrivals,Accessories,Adidas,http://myntra.myntassets.com/images/style/properties/65393dbc05a6d694eba58ab7fe2ff341_images_1080_1440_mini.jpg,Rs. 799,None,men,http://www.myntra.com/Caps/Adidas/Adidas-Unisex-Black-Cap/25708/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Block the elements and look sporty in this fabulous cap from <a href="../adidas">adidas</a>. The cotton fabric and eyelets keep your head cool and dry all day. Team it with <a href="../jeans">jeans</a>, tees and <a href="../sneakers">sneakers</a> to complete your sporty fashion statement.<br/> <br/> Made of 100% cotton<br/> Embroidered eyelets on the crown<br/> Embroidered brand name on the front<br/> adidas patented 3-Stripes appliqué d in white on the visor<br/> Adjustable back strap <br/> <br/> <span style="font-style: normal  font-weight;">Cap care<br/> </span><span style="font-style: normal  font-weight;">Machine wash in cold water or hand wash separately<br/> Do not tumble dry, use softeners or bleach<br/> Line dry</span></p></li></ul>,26:02:2014,None
None,Adidas Unisex White Headband,http://www.myntra.com/Headband/Adidas/Adidas-Unisex-White-Headband/134238/buy,Rs. 399,men-accessories-new-arrivals,Accessories,Adidas,http://myntra.myntassets.com/images/style/properties/Adidas-Unisex-White-Ten-Headband_21f87311a989ed6edd430636040bf6d0_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Headband/Adidas/Adidas-Unisex-White-Headband/134238/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This Adidas headband is the easiest way to get that sporty look just right. For a friendly cricket match with the neighbourhood kids or a high-energy game, this headband is sure to keep you sweat free.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>White headband with a soft feel and embroidered branding in the front</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>37% cotton, 36% PAN, 17% polyamide, 6% polyester and 4% ED<br/>Machine wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Relaxed width: 21 cm<br/>Stretched width: 38 cm</p></li></ul>,26:02:2014,None
None,Adidas Unisex Navy Cap,http://www.myntra.com/Caps/Adidas/Adidas-Unisex-Navy-Cap/155325/buy,Rs. 679,men-accessories-new-arrivals,Accessories,Adidas,http://myntra.myntassets.com/images/style/properties/Adidas-Unisex-Navy-Cap_4968da5e4fc71d7936ddfe5760c0443a_images_1080_1440_mini.jpg,Rs. 799,None,men,http://www.myntra.com/Caps/Adidas/Adidas-Unisex-Navy-Cap/155325/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>While celebrities are often spotted hiding their face with a cap, we have no intentions of following their style trend when it comes to that. These sporty looking caps from Adidas are uber cool, and we definitely want people to know who's wearing the stylish cap.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy cap, curved visor with Adidas patented 3-stripe at centre, embroidered Adidas logo at crown, eyelet detail on top,  adjustable back strap closure with metallic branding<br/>Warranty: 3 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Hand wash cold</p></li></ul>,26:02:2014,None
None,Adidas Unisex Grey Ess 3s Beanie Cap,http://www.myntra.com/Caps/Adidas/Adidas-Unisex-Grey-Ess-3s-Beanie-Cap/166311/buy,Rs. 679,men-accessories-new-arrivals,Accessories,Adidas,http://myntra.myntassets.com/images/style/properties/Adidas-Unisex-Grey-ESS-3S-BEANIE-Caps_3416be391020432ed7a993910def2805_images_1080_1440_mini.jpg,Rs. 799,None,men,http://www.myntra.com/Caps/Adidas/Adidas-Unisex-Grey-Ess-3s-Beanie-Cap/166311/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>What better way to keep the chills away than a knitted beanie? Check out Adidas's new collection of beanies that will score major style points.  Pair it with distressed denims, warm jacket and sport shoes.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Grey, knitted beanie cap with Adidas logo and Adidas patented 3-stripes embroidered at the hem<br/>Warranty: 3 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% acrylic<br/>Hand wash</p></li></ul>,26:02:2014,None
None,Adidas Unisex Navy Ess 3s Woolie Beanie Cap,http://www.myntra.com/Caps/Adidas/Adidas-Unisex-Navy-Ess-3s-Woolie-Beanie-Cap/197281/buy,Rs. 849,men-accessories-new-arrivals,Accessories,Adidas,http://myntra.myntassets.com/images/style/properties/Adidas-Unisex-Navy-Ess-3s-Woolie-Beanie-Cap_a9f0d8fc0ddcbe97e2423e11315ad468_images_1080_1440_mini.jpg,Rs. 999,None,men,http://www.myntra.com/Caps/Adidas/Adidas-Unisex-Navy-Ess-3s-Woolie-Beanie-Cap/197281/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>What better way to keep the chills away than a knitted beanie? Check out Adidas's new collection of beanies that will score major style points.  Pair it with distressed denims, warm jacket and sport shoes.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy, knitted beanie cap with grey accents, Adidas logo, foldable hem with Adidas patented 3-stripes<br/>Warranty: 3 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% acrylic<br/>Hand wash</p></li></ul>,26:02:2014,None
None,Adidas Unisex Black Linear Ess Backpack,http://www.myntra.com/Backpacks/Adidas/Adidas-Unisex-Black-Linear-Ess-Backpack/197274/buy,Rs. 1,599,men-accessories-new-arrivals,Accessories,Adidas,http://myntra.myntassets.com/images/style/properties/Adidas-Unisex-Backpacks_5ab929aeb84d00943e97fcdcb80deb95_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Backpacks/Adidas/Adidas-Unisex-Black-Linear-Ess-Backpack/197274/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This backpack from Adidas is given a modern twist with a compact structure and smart allocation of space to accommodate all your essentials. Your travel is no more a burden but assured comfort with this backpack.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black backpack with white accents, has branding at the front<br/>One haul loop at the top and two, padded, adjustable shoulder straps with branding on one<br/>One main zipped compartment, with slip pocket<br/>Mesh stash pocket on either side with elasticated mouth<br/>Padded back<br/>Warranty: 3 months from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/>Wipe with a clean, dry cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 42 cm<br/>Width: 37 cm<br/>Depth: 13.5 cm</p></li></ul>,26:02:2014,None
None,Adidas Unisex Black F50 TB+ Duffle Bag,http://www.myntra.com/Duffle-Bag/Adidas/Adidas-Unisex-Black-F50-TB+-Duffle-Bag/160526/buy,Rs. 2,799,men-accessories-new-arrivals,Accessories,Adidas,http://myntra.myntassets.com/images/style/properties/Adidas-Unisex-Black-F50-TB-Duffle-Bag_d0f974c10cb772172be38f17ba2127a5_images_1080_1440_mini.jpg,Rs. 3,999,None,men,http://www.myntra.com/Duffle-Bag/Adidas/Adidas-Unisex-Black-F50-TB+-Duffle-Bag/160526/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Equipped with features, this duffle bag from Adidas is perfect for your needs. Don't relegate it only for those workout sessions, this  works well for travel purposes too.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black duffle bag with printed Adidas tri-stipes and branding at the front<br/>Two short handles secured with a padded Velcro closure and a long, adjustable shoulder strap with a shoulder pad that has branding on it, a non-padded haul loop on the side<br/>One main zipped compartment with an inner zipped pouch<br/>An external zipped pocket at the front <br/>One external, mesh pocket at the back whose lining extends inside for extra storage<br/>One mesh stash pocket on one side and one zipped pocket on the other side<br/>Warranty:  3 months from the date of purchase, against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Nylon<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 26 cm<br/>Width: 60 cm<br/>Depth: 28 cm</p></li></ul>,26:02:2014,None
None,Adidas Unisex Black & Grey Perf Ess Tb S Duffle Bag,http://www.myntra.com/Duffle-Bag/Adidas/Adidas-Unisex-Black-&-Grey-Perf-Ess-Tb-S-Duffle-Bag/212714/buy,Rs. 2,099,men-accessories-new-arrivals,Accessories,Adidas,http://myntra.myntassets.com/images/style/properties/Adidas-Unisex-Black-and-Grey-Perf-Ess-Tb-S-Duffle-Bag_8d01a684bef3a764b528e2bd8f457b21_images_1080_1440_mini.JPG,None,None,men,http://www.myntra.com/Duffle-Bag/Adidas/Adidas-Unisex-Black-&-Grey-Perf-Ess-Tb-S-Duffle-Bag/212714/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Equipped with ample space, this duffle bag from Adidas is perfect for your needs. Don't relegate it only for those workout sessions, this  works well for travel purposes too.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black and grey duffle bag with white accents, and Adidas branding, mesh panelling on one side<br/>One adjustable shoulder strap with a shoulder pad and two short handles that can be held together with a tab with Velcro closures<br/>One main zipped compartment<br/>One external zipped pocket on the side<br/>One slip pocket at the front<br/>Has legs at the base with branding<br/>Warranty: 3 months from the date of purchase, against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 26 cm<br/>Width: 49.5 cm<br/>Depth: 22 cm</p></li></ul>,26:02:2014,None
None,Adidas Unisex Black Duffle Bag,http://www.myntra.com/Duffle-Bag/Adidas/Adidas-Unisex-Black-Duffle-Bag/173587/buy,Rs. 3,909,men-accessories-new-arrivals,Accessories,Adidas,http://myntra.myntassets.com/images/style/properties/Adidas-Unisex-Black-Duffle-Bag_7a79f11fcbcec61ca00061b2c3af23ed_images_1080_1440_mini.jpg,Rs. 4,599,None,men,http://www.myntra.com/Duffle-Bag/Adidas/Adidas-Unisex-Black-Duffle-Bag/173587/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Equipped with features, this duffle bag from Adidas is perfect for your needs. Don't relegate it only for those workout sessions, this  works well for travel purposes too.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black duffle bag with fluorescent green accents, Adidas tri-stipes and branding<br/>Two adjustable and deachable shoulder straps with shoulder pads and a haul loop at one side<br/>One main zipped compartment with an inner zipped mesh pocket<br/>Two external zipped pockets with padded mesh panels<br/>One zipped closure on one side which opens to the main compartment<br/>Warranty:  3 months from the date of purchase, against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 41 cm<br/>Width: 70 cm<br/>Depth: 34 cm</p></li></ul>,26:02:2014,None
None,Adidas Unisex White & Orange Real Madrid Muffler,http://www.myntra.com/Mufflers/Adidas/Adidas-Unisex-White-&-Orange-Real-Madrid-Muffler/185341/buy,Rs. 1,189,men-accessories-new-arrivals,Accessories,Adidas,http://myntra.myntassets.com/images/style/properties/Adidas-Unisex-Scarves_52a4f6b25b5ac338ca0bcb0783d9e7ad_images_1080_1440_mini.jpg,Rs. 1,399,None,men,http://www.myntra.com/Mufflers/Adidas/Adidas-Unisex-White-&-Orange-Real-Madrid-Muffler/185341/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>No soccer fan is complete without a team scarf, and if there’s one soccer team to support proudly, it’s Spain’s Real Madrid. Style this piece with slim fit denims and casual shoes to watch a game at the sports bar with your friends.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>White and black muffler with orange accents, has contrast fringe on the ends, Real Madrid and the club crest printed on  one side, and the 3 stripes and Adidas logo printed on the other side<br/>Warranty: 3 months from the date of purchase, against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% acrylic<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 154 cm<br/> Width: 17 cm</p></li></ul>,26:02:2014,None
None,Adidas Unisex Black Urban Belt,http://www.myntra.com/Belts/Adidas/Adidas-Unisex-Black-Urban-Belt/46307/buy,Rs. 1,299,men-accessories-new-arrivals,Accessories,Adidas,http://myntra.myntassets.com/images/style/properties/ff069892a3edc4a69f5e89969d41910d_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Belts/Adidas/Adidas-Unisex-Black-Urban-Belt/46307/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Your go-to brand for essentials, Adidascomes up with this stylish belt to add a refined finish to your casual look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black belt with a metal buckle<br/>Adjustable belt</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic fabric<br/>Wipe with a clean cloth to remove dust</p></li></ul>,26:02:2014,None
None,Adidas Unisex Black NBA LA Lakers Cap,http://www.myntra.com/Caps/Adidas/Adidas-Unisex-Black-NBA-LA-Lakers-Cap/185307/buy,Rs. 1,019,men-accessories-new-arrivals,Accessories,Adidas,http://myntra.myntassets.com/images/style/properties/Adidas-Unisex-Caps_2294fa13ba65df13057991958130775f_images_1080_1440_mini.jpg,Rs. 1,199,None,men,http://www.myntra.com/Caps/Adidas/Adidas-Unisex-Black-NBA-LA-Lakers-Cap/185307/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Made of cotton, this Adidas cap with the eyelets ensures you  stay dry and comfortable while you cheer your favourite team LA Lakers to victory. The adjustable closure ensures that the cap sits snug on your head.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black cap with a flat, broad visor, LA Lakers logo embroidery in front of the crown, LA Lakers embroidery on the right, branding and NBA appliqué detail on the left, panelled construction with eyelets around the crown and a button at the centre, adjustable strap at the back for a customised fit<br/>Warranty: 3 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Hand wash</p></li></ul>,26:02:2014,None
