None,Bentex Men White Dial Watch,http://www.myntra.com/Watches/Bentex/Bentex-Men-White-Dial-Watch/180894/buy,Rs. 1,780,men-accessories-new-arrivals,Accessories,Bentex,http://myntra.myntassets.com/images/style/properties/Bentex-Men-White-Dial-Watch_2d8ca35043facc9e18bd526736254ff5_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Bentex/Bentex-Men-White-Dial-Watch/180894/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Classic style and elegant craftsmanship that has a sophisticated feel and finish to it - that's what this Bentex watch promises. Best worn with smart casual ensembles.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel rectangular case, textured detail at the edges<br/>Dial style: White, textured dial with gold toned hands and markings, branding on the dial<br/>Strap style: Black, textured leather strap with a tang clasp closure<br/>Features: Screw to reset time, date display near the six hour mark<br/>Water resistant up to 30 m<br/>Comes in a signature Bentex case<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial dimensions: 28 mm x 26 mm<br/>Strap width: 15 mm</p></li></ul>,26:02:2014,None
None,Bentex Unisex Black Leather Watch,http://www.myntra.com/Watches/Bentex/Bentex-Unisex-Black-Leather-Watch/180867/buy,Rs. 2,880,men-accessories-new-arrivals,Accessories,Bentex,http://myntra.myntassets.com/images/style/properties/Bentex-Unisex-Black-Leather-Watch_ca3a78e55619941850bc8dfa9cc3fffa_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Bentex/Bentex-Unisex-Black-Leather-Watch/180867/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>The timeless design and contemporary styling gives this Bentex watch a modern appeal. Best worn with smart casual.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel circular case<br/>Dial style: Black dial, two hour markings that move to indicate time, branding at the 12 hour mark<br/>Strap style: Brown leather strap with a tang clasp closure and stitched detail<br/>Features: Screw to reset time<br/>Water resistant up to 30 m<br/>Comes in signature Bentex case<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 35 mm<br/>Strap width: 14 mm</p></li></ul>,26:02:2014,None
None,Bentex Men Pearly White Dial Watch,http://www.myntra.com/Watches/Bentex/Bentex-Men-Pearly-White-Dial-Watch/180889/buy,Rs. 3,280,men-accessories-new-arrivals,Accessories,Bentex,http://myntra.myntassets.com/images/style/properties/Bentex-Men-Pearly-White-Dial-Watch_2b224bd859d7dde77be790290b34375a_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Bentex/Bentex-Men-Pearly-White-Dial-Watch/180889/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Classic style and elegant craftsmanship that has a sophisticated feel and finish to it - that's what this Bentex watch promises. Best worn with smart casual ensembles.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel rectangular case, textured detail at the edges<br/>Dial style: Pearly white dial with silver toned hands and markings,  branding on the dial<br/>Strap style: Silver toned, bracelet style strap with an insert press-clasp closure<br/>Features: Screw to reset time<br/>Water resistant up to 30 m<br/>Comes in a signature Bentex case<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial dimensions: 30 mm x 14 mm<br/>Strap width: 17 mm</p></li></ul>,26:02:2014,None
None,Bentex Men Brown Watch,http://www.myntra.com/Watches/Bentex/Bentex-Men-Brown-Watch/180886/buy,Rs. 6,780,men-accessories-new-arrivals,Accessories,Bentex,http://myntra.myntassets.com/images/style/properties/Bentex-Men-Brown-Chronograph-Watch_df0ce5bac40e7c30bf3c7e726bb1ff98_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Bentex/Bentex-Men-Brown-Watch/180886/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>There's a reason why we keep going back to watch from Bentex. It's classic and eternally in-vogue. A versatile piece that blends in with ethnic or western ensembles effortlessly, this piece is a must-have accessory in every man's wardrobe.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel, circular case<br/>Dial style: Brown dial, copper toned hands and hour markings with white inlay<br/>Features: Chronograph time display, date aperture, exposed gears, dial-within-a-dial details and a screw to reset the time<br/>Strap style: Copper toned bracelet styled strap with fold-over clasp closure<br/>Water resistant up to 50 m<br/>Comes with a signature Bentex case<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 40 mm<br/>Strap width: 21 mm</p></li></ul>,26:02:2014,None
None,Bentex Men White Dial Watch,http://www.myntra.com/Watches/Bentex/Bentex-Men-White-Dial-Watch/180882/buy,Rs. 2,680,men-accessories-new-arrivals,Accessories,Bentex,http://myntra.myntassets.com/images/style/properties/Bentex-Men-White-Dial-Watch_a3a4a2d8b48e39a439534c3f0307bedf_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Bentex/Bentex-Men-White-Dial-Watch/180882/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>There's a reason why we keep going back to watches from Bentex. It's classic and eternally in-vogue. A versatile piece that blends in with ethnic or western ensembles effortlessly, this piece is a jewellery box essential.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel circular case<br/>Dial style: White dial, silver toned hands and hour markings, branding at the 12 hour mark<br/>Features: Screw to reset the time, has an inner seconds dial<br/>Strap style: Black, textured, leather strap with a tang clasp closure<br/>Water resistant up to 30 m<br/>Comes with a signature Bentex case<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 30 mm<br/>Strap width: 18 mm</p></li></ul>,26:02:2014,None
None,Bentex Men Pearly White Dial Watch,http://www.myntra.com/Watches/Bentex/Bentex-Men-Pearly-White-Dial-Watch/180888/buy,Rs. 3,580,men-accessories-new-arrivals,Accessories,Bentex,http://myntra.myntassets.com/images/style/properties/Bentex-Men-Pearly-White-Dial-Watch_1baf8c43bd9c6a53a33c618598e2b629_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Bentex/Bentex-Men-Pearly-White-Dial-Watch/180888/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Classic style and elegant craftsmanship that has a sophisticated feel and finish to it - that's what this Bentex watch promises. Best worn with smart casual ensembles.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel rectangular case, textured detail at the edges<br/>Dial style: Pearly white, textured dial with gold toned hands and markings, branding on the dial<br/>Strap style: Gold toned, bracelet style strap with an insert press-clasp closure<br/>Features: Screw to reset time, date display near the six hour mark<br/>Water resistant up to 30 m<br/>Comes in a signature Bentex case<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial dimensions: 28 mm x 26 mm<br/>Strap width: 15 mm</p></li></ul>,26:02:2014,None
None,Bentex Men White Dial Watch,http://www.myntra.com/Watches/Bentex/Bentex-Men-White-Dial-Watch/180883/buy,Rs. 3,380,men-accessories-new-arrivals,Accessories,Bentex,http://myntra.myntassets.com/images/style/properties/Bentex-Men-White-Dial-Watch_6ec1f4738b4e06e926a80f6746629b7d_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Bentex/Bentex-Men-White-Dial-Watch/180883/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>There's a reason why we keep going back to watch from Bentex. It's classic and eternally in-vogue. A versatile piece that blends in with ethnic or western ensembles effortlessly, this piece is a must-have accessory in every man's wardrobe.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel, silver toned, round case<br/>Dial style: White dial with mother-of-pearl, silver toned hands and hour markings, branding at the 12 hour mark<br/>Strap style: Silver toned, stainless steel, bracelet strap with a butterfly clasp closure<br/>Features: Screw to reset time, has an inner seconds dial<br/>Water resistant up to 30 m<br/>Comes with a signature Bentex case<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 30 mm<br/>Strap width: 17 mm</p></li></ul>,26:02:2014,None
None,Bentex Unisex Brown Dial Leather Watch,http://www.myntra.com/Watches/Bentex/Bentex-Unisex-Brown-Dial-Leather-Watch/180866/buy,Rs. 3,180,men-accessories-new-arrivals,Accessories,Bentex,http://myntra.myntassets.com/images/style/properties/Bentex-Unisex-Brown-Dial-Leather-Watch_226cb556994753a5cbff71d5807ef046_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Bentex/Bentex-Unisex-Brown-Dial-Leather-Watch/180866/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>The timeless design and contemporary styling gives this Bentex watch a modern appeal. Best worn with smart casuals.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel circular case<br/>Dial style: Dark brown dial, two hour markings that move to indicate time, branding at the 12 hour mark<br/>Strap style: Brown leather strap with a tang clasp closure and stitched detail<br/>Features: Screw to reset time<br/>Water resistant up to 30 m<br/>Comes in signature Bentex case<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 35 mm<br/>Strap width: 14 mm</p></li></ul>,26:02:2014,None
None,Bentex Men White Dial Watch,http://www.myntra.com/Watches/Bentex/Bentex-Men-White-Dial-Watch/180891/buy,Rs. 3,980,men-accessories-new-arrivals,Accessories,Bentex,http://myntra.myntassets.com/images/style/properties/Bentex-Men-White-Dial-Watch_c28a628a756643245aedd1acfb57f59f_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Bentex/Bentex-Men-White-Dial-Watch/180891/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Classic style and elegant craftsmanship that has a sophisticated feel and finish to it - that's what this Bentex watch promises. Best worn with smart casual ensembles.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel rectangular case, textured detail at the edges<br/>Dial style: White dial with silver toned hands and markings,  branding on the dial<br/>Strap style: Silver toned, bracelet style strap with an insert press-clasp closure<br/>Features: Screw to reset time<br/>Water resistant up to 30 m<br/>Comes in a signature Bentex case<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial dimensions: 30 mm x 14 mm<br/>Strap width: 17 mm</p></li></ul>,26:02:2014,None
None,Bentex Men Gold Toned Dial Watch,http://www.myntra.com/Watches/Bentex/Bentex-Men-Gold-Toned-Dial-Watch/180890/buy,Rs. 4,680,men-accessories-new-arrivals,Accessories,Bentex,http://myntra.myntassets.com/images/style/properties/Bentex-Men-Gold-Toned-Dial-Watch_35bb87f562dc1fa9fff2c57588cf08fc_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Bentex/Bentex-Men-Gold-Toned-Dial-Watch/180890/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Classic style and elegant craftsmanship that has a sophisticated feel and finish to it - that's what this Bentex watch promises. Best worn with smart casual ensembles.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel rectangular case, textured detail at the edges<br/>Dial style: Gold toned dial with silver toned hands and markings,  branding on the dial<br/>Strap style: Gold toned, bracelet style strap with an insert press-clasp closure<br/>Features: Screw to reset time<br/>Water resistant up to 30 m<br/>Comes in a signature Bentex case<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial dimensions: 30 mm x 14 mm<br/>Strap width: 17 mm</p></li></ul>,26:02:2014,None
