None,Language Men Black Leather Formal Shoes,http://www.myntra.com/Formal-Shoes/Language/Language-Men-Black-Leather-Formal-Shoes/218335/buy,Rs. 5,841,men-footwear-new-arrivals,Footwear,Language,http://myntra.myntassets.com/images/style/properties/Language-Men-Black-Leather-Formal-Shoes_e187fba04fdb47d089a48ee9a8de277a_images_1080_1440_mini.jpg,Rs. 6,490,None,men,http://www.myntra.com/Formal-Shoes/Language/Language-Men-Black-Leather-Formal-Shoes/218335/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6.5', '7', '7.5', '8', '9', '9.5', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Complete your formal look with this pair of shoes from Language. Crafted from leather, this pair makes a distinctly stylish impression. Wear yours with a well-tailored pair of trousers and shirt to look your formal best.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, black brogue shoes with central lace-ups and low top styling<br/>Leather upper with overlays, stitched detail, perforations, and reinforced heel collar<br/>Soft tongue and cushioned footbed with branding at the heel<br/>Tough outsole with stitched detail, branding, and has a stacked heel<br/>Warranty: 6 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Use a branded leather polish to clean the product<br/>Click <a href="http://www.myntra.com/black-smooth-leather-care">here</a> for the perfect care products for black leather shoes</p></li></ul>,26:02:2014,None
None,Language Men Brown Casual Shoes,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Brown-Casual-Shoes/164911/buy,Rs. 3,591,men-footwear-new-arrivals,Footwear,Language,http://myntra.myntassets.com/images/style/properties/Language-Men-Brown-Casual-Shoes_82f81fb944eb9451a51f320be9c14b97_images_1080_1440_mini.jpg,Rs. 3,990,None,men,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Brown-Casual-Shoes/164911/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6.5', '7', '7.5', '8', '9', '9.5', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted from the finest leather, this slip-on shoe from Language is  designed to offer comfort at its best, without compromising on style.  Packed with features that offer luxurious comfort, this pair makes you  look best when paired with casuals and classy accessories.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, dark brown casual shoes<br/>Leather upper  with stitched detail, has overlay at the forefoot  area and the heel<br/>Cushioned footbed with perforated insert at one side, branding at the heel region<br/>TPR outsole with an upraised heel and patterned grooves<br/>Warranty: 6 months from the date of purchase</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Remove dust and dirt with damp clean cloth<br/> Do not store in direct sunlight</p></li></ul>,26:02:2014,None
None,Language Men Brown Leather Loafers,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Brown-Leather-Loafers/198815/buy,Rs. 4,941,men-footwear-new-arrivals,Footwear,Language,http://myntra.myntassets.com/images/style/properties/Language-Men-Casual-Shoes_a85255250d412d1e66b644d1ffdffa06_images_1080_1440_mini.jpg,Rs. 5,490,None,men,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Brown-Leather-Loafers/198815/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6.5', '7', '7.5', '8', '9', '9.5', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Language never compromises on the design and comfort of its shoes. We suggest you wear this pair with slim fit pants and a casual shirt for a stylish look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Square toed, brown loafers with low top and slip-on styling<br/>Leather upper, with red accents, overlays and stitched detail along the seams of the forefoot and backfoot, has stitched and cut-out detail at the midfoot, reinforced overlay at the heel collar<br/>Cushioned footbed with branding at the heel<br/>Tough outsole with stitched detail and circular nubs<br/>Warranty: 6 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Use a branded leather conditioner to clean this product<br/>Click <a href="http://www.myntra.com/brown-smooth-leather-care">here</a> for the perfect care products for brown leather shoes</p></li></ul>,26:02:2014,None
None,Language Men Brown Leather Casual Shoes,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Brown-Leather-Casual-Shoes/203613/buy,Rs. 3,817,men-footwear-new-arrivals,Footwear,Language,http://myntra.myntassets.com/images/style/properties/Language-Men-Brown-Leather-Casual-Shoes_87511ad1107c0d587837ec701e653f4f_images_1080_1440_mini.jpg,Rs. 4,490,None,men,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Brown-Leather-Casual-Shoes/203613/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6.5', '7', '7.5', '8', '9', '9.5', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Language never compromises on the design and comfort of their shoes.  Smart and suave, these casual shoes are best worn with well-tailored chinos  and slim fit shirts.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Square toed, brown casual shoes with slip-on and low top styling<br/>Leather, textured upper with stitched and overlay detail<br/>Low cut styling at the back<br/>Soft and padded footbed with branding<br/>Tough and textured outsole with circular nubs<br/>Warranty: 6 months warranty against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/brown-smooth-leather-care">here</a> for the perfect care products for brown leather shoes</p></li></ul>,26:02:2014,None
None,Language Men Black Leather Loafers,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Black-Leather-Loafers/198808/buy,Rs. 2,241,men-footwear-new-arrivals,Footwear,Language,http://myntra.myntassets.com/images/style/properties/Language-Men-Casual-Shoes_ae3007708cdc13dfe305fda8a432e639_images_1080_1440_mini.jpg,Rs. 2,490,None,men,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Black-Leather-Loafers/198808/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6.5', '7', '7.5', '8', '9', '9.5', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Extremely stylish with classic design, this pair of shoes from Language is guaranteed to impress. The design makes this pair versatile to team with your casual ensemble. Team it with slim fit pants and a casual shirt for a stylish look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Square toed, black loafers with low top and slip-on styling<br/>Leather, textured upper, with overlays, stitched detail along the seams of the forefoot and backfoot, reinforced overlay at the heel collar<br/>Cushioned and textured footbed with branding at the heel<br/>Tough outsole with patterned grooves and extends to the backfoot<br/>Warranty: 6 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Use a branded leather conditioner to clean this product<br/>Click <a href="http://www.myntra.com/black-smooth-leather-care">here</a> for the perfect care products for black leather shoes</p></li></ul>,26:02:2014,None
None,Language Men Dark Blue Leather Casual Shoes,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Dark-Blue-Leather-Casual-Shoes/198806/buy,Rs. 3,817,men-footwear-new-arrivals,Footwear,Language,http://myntra.myntassets.com/images/style/properties/Language-Men-Casual-Shoes_9db8c7081f351946fbd3463a4afe1217_images_1080_1440_mini.jpg,Rs. 4,490,None,men,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Dark-Blue-Leather-Casual-Shoes/198806/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6.5', '7', '7.5', '8', '9', '9.5', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>We love this pair of casual shoes with easy slip-on styling, from Language. Wear it with your casual ensembles for a trendy and cool look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Square toed, dark blue casual shoes with slip-on and loafers type styling<br/>Leather, textured upper, with overlays, stitched detail along the seams of the forefoot<br/>Cushioned footbed with branding at the heel<br/>Tough outsole with textured circular nubs<br/>Warranty: 6 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Use a branded leather conditioner to clean this product<br/>Click <a href="http://www.myntra.com/other-smooth-leather-care">here</a> for the perfect care products for leather shoes</p></li></ul>,26:02:2014,None
None,Language Men Black Leather Semi-Formal Shoes,http://www.myntra.com/Formal-Shoes/Language/Language-Men-Black-Leather-Semi-Formal-Shoes/218337/buy,Rs. 5,490,men-footwear-new-arrivals,Footwear,Language,http://myntra.myntassets.com/images/style/properties/Language-Men-Black-Leather-Semi-Formal-Shoes_6ea29118305240526cb45381ea8283fc_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Formal-Shoes/Language/Language-Men-Black-Leather-Semi-Formal-Shoes/218337/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6.5', '7', '7.5', '8', '9', '9.5', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted from leather, this pair of shoes from Language makes a distinctly stylish impression. Team it with smart casual outfits to look your best, when heading to work.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Rounded square toed, black semi-formal shoes with slip-on and low top styling<br/>Leather upper with overlays, stitched detail, perforated detail at the forefoot, and reinforced heel collar<br/>Cushioned footbed with branding at the heel<br/>Tough and textured outsole with stitched detail at the forefoot, and branding<br/>Warranty: 6 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Use a branded leather polish to clean the product<br/>Click <a href="http://www.myntra.com/black-smooth-leather-care">here</a> for the perfect care products for black leather shoes</p></li></ul>,26:02:2014,None
None,Language Men Greyish Blue Boat Shoes,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Greyish-Blue-Boat-Shoes/203610/buy,Rs. 4,491,men-footwear-new-arrivals,Footwear,Language,http://myntra.myntassets.com/images/style/properties/Language-Men-Grey-Boat-Shoes_5231d9636e9bc3097320bb2e69241496_images_1080_1440_mini.jpg,Rs. 4,990,None,men,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Greyish-Blue-Boat-Shoes/203610/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6.5', '7', '7.5', '8', '9', '9.5', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Language never compromises on the design and comfort of their shoes.  Smart and suave, these boat shoes are best worn with well-tailored chinos  and slim fit shirts.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, greyish blue boat shoes with slip-on and low top styling<br/>Leather upper with stitched detail<br/>Upper has a laced through detail near the mouth that forms a bow at the forefoot<br/>Reinforced overlay at the heel collar, branding at the backfoot<br/>Soft and padded footbed with branding<br/>Tough outsole with circular nubs<br/>Warranty: 6 months warranty against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean, dry cloth when needed<br/> Click <a href="http://www.myntra.com/other-smooth-leather-care">here</a> for the perfect care products for leather shoes</p></li></ul>,26:02:2014,None
None,Language Men Brown Leather Semi-Formal Boots,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Brown-Leather-Semi-Formal-Boots/218332/buy,Rs. 4,491,men-footwear-new-arrivals,Footwear,Language,http://myntra.myntassets.com/images/style/properties/Language-Men-Casual-Shoes_ab3b5a5014f95fac98301bae099482b5_images_1080_1440_mini.jpg,Rs. 4,990,None,men,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Brown-Leather-Semi-Formal-Boots/218332/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6.5', '7', '7.5', '8', '9', '9.5', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Language never compromises on the design and comfort of shoes. Smart and simple in design, this pair of boots is best worn with denims and a slim-fit shirt.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, brown boots with slip-on and high top styling<br/>Leather, textured upper with overlays, stitched detail, elasticated inserts on the sides, and reinforced heel collar with a pull tab detail<br/>Cushioned footbed with branding at the heel<br/>Tough and textured outsole with patterned grooves, stitched detail and a stacked heel<br/>Warranty: 6 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Use a branded leather conditioner to clean the product<br/>Click <a href="http://www.myntra.com/brown-smooth-leather-care">here</a> for the perfect care products for brown leather shoes</p></li></ul>,26:02:2014,None
None,Language Men Grey Casual Shoes,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Grey-Casual-Shoes/164913/buy,Rs. 3,990,men-footwear-new-arrivals,Footwear,Language,http://myntra.myntassets.com/images/style/properties/Language-Men-Grey-Casual-Shoes_a31700eb47b05392c7a3dcbd0679242b_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Casual-Shoes/Language/Language-Men-Grey-Casual-Shoes/164913/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['7', '7.5', '8', '9', '9.5'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted from the finest leather, this slip-on shoe from Language is  designed to offer comfort at its best, without compromising on style.  Packed with features that offer luxurious comfort, this pair makes you  look best when paired with casuals and classy accessories.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, grey, textured casual shoes<br/>Leather upper  with stitched detail and overlays<br/>Cushioned footbed with perforated insert at one side, branding at the heel region<br/>TPR outsole with nubs<br/>Warranty: 6 months from the date of purchase<br/>Comes with a shoe horn</p><div id="_mcePaste" style="position: absolute; left: -10000px; top: 0px; width: 1px; height: 1px; overflow: hidden;"><!--  br {mso-data-placement:same-cell;} --><table cellpadding="0" cellspacing="0" dir="ltr" style="table-layout: fixed; font-size: 13px; font-family: arial,sans,sans-serif;"><colgroup><col width="86"></col><col width="120"></col><col width="171"></col><col width="82"></col></colgroup><tbody><tr style="height: 17px;"><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: right; border: 1px solid #ccc;">168173</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-top: 1px solid #ccc;">Casual Shoes</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-top: 1px solid #ccc;">Unamia</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-top: 1px solid #ccc;">C 3841</td></tr><tr style="height: 17px;"><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: right; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-left: 1px solid #ccc;">168174</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Casual Shoes</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Unamia</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">C 3841</td></tr><tr style="height: 17px;"><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: right; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-left: 1px solid #ccc;">168170</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Casual Shoes</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Unamia</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">C 3841</td></tr><tr style="height: 17px;"><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: right; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-left: 1px solid #ccc;">168176</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Casual Shoes</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Unamia</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">C 3841</td></tr><tr style="height: 17px;"><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: right; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-left: 1px solid #ccc;">168166</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Casual Shoes</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Unamia</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">C 3841</td></tr><tr style="height: 17px;"><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: right; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-left: 1px solid #ccc;">168177</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Casual Shoes</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Unamia</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">C 3841</td></tr><tr style="height: 17px;"><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: right; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-left: 1px solid #ccc;">164784</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Casual Shoes</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Woodland</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">C 3841</td></tr><tr style="height: 17px;"><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: right; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-left: 1px solid #ccc;">164785</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Casual Shoes</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Woodland</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">C 3841</td></tr><tr style="height: 17px;"><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: right; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-left: 1px solid #ccc;">164786</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Casual Shoes</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Woodland</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">C 3841</td></tr><tr style="height: 17px;"><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: right; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-left: 1px solid #ccc;">166073</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Casual Shoes</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Woodland</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">C 3841</td></tr><tr style="height: 17px;"><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: right; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-left: 1px solid #ccc;">166051</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Casual Shoes</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Woodland</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">C 3841</td></tr><tr style="height: 17px;"><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: right; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc; border-left: 1px solid #ccc;">166691</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Sports Shoes</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">Skechers</td><td style="padding: 0 3px; vertical-align: bottom; color: #000000; text-align: left; direction: ltr; border-right: 1px solid #ccc; border-bottom: 1px solid #ccc;">C 3841</td></tr></tbody></table></div></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Remove dust and dirt with damp clean cloth<br/> Do not store in direct sunlight</p></li></ul>,26:02:2014,None
