None,CAT Men Navy Bomber Jacket,http://www.myntra.com/Jackets/CAT/CAT-Men-Navy-Bomber-Jacket/215528/buy,Rs. 6,899,men-jacket-blazers,Jackets & Blazers,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Men-Jackets_dd6e7580f9a0d2f856dd5b2a3578df75_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Jackets/CAT/CAT-Men-Navy-Bomber-Jacket/215528/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL', 'XXL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Spruce up your dull winter wear with the winter wear collection from construction giant Caterpillar. We suggest you team this jacket with a pair of jeans and funky sneakers to add some zing to your look this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy padded jacket with quilt stitched detail, woven, full zipped closure at front, mock collar, long sleeves with ribbed cuffs, welt pockets with with zipped flap closures on either side at front waist, brand detail at left chest, yoke at back, elasticated hem<br/><br/>www.cat.com (c) 2013 Wolverine WorldWide. CAT, CATERPILLAR, their respective logos, "CaterpillarYellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks ofCaterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited Grown-Up Licenses Ltd. global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell 1: 100% nylon<br/>Shell 2: 55% nylon, 45% cotton<br/>Lining: 100% nylon<br/>Insulation: 100% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 6' and shoulders 18") is wearing a size M<br/>Please note that CAT topwear sizes are larger than topwear from other brands - you may want to choose a smaller size than usual</p></li></ul>,26:02:2014,None
None,CAT Men Yellow Hooded Sleveless Jacket,http://www.myntra.com/Jackets/CAT/CAT-Men-Yellow-Hooded-Sleveless-Jacket/215533/buy,Rs. 4,499,men-jacket-blazers,Jackets & Blazers,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Men-Jackets_b740054c64f39fa4d11e1c0f9497338c_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Jackets/CAT/CAT-Men-Yellow-Hooded-Sleveless-Jacket/215533/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['M', 'L'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Spruce up your dull winter wear with the winter wear collection from construction giant Caterpillar. We suggest you team this jacket with a pair of jeans and funky sneakers to add some zing to your look this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Yellow water resistant, wind proof jacket has a breathable fabric, an attached hood with adjustable drawstrings with toggles and tabs on the sides, sleeveless, full contrast zip closure, branding at left chest, insert pockets at front waist with contrast zipped closures, a zipped insert pocket built into the lining, opening for earphone inside, adjustable drawstrings with toggles and tabs at hem on the inside<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd. global licensees of Caterpillar Inc..</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 100% nylon<br/>Lining: 65% polyester, 35% cotton<br/>Insulation: 100% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 6' and shoulders 18") is wearing a size M</p></li></ul>,26:02:2014,None
None,CAT Men Navy Hooded Sleeveless Jacket,http://www.myntra.com/Jackets/CAT/CAT-Men-Navy-Hooded-Sleeveless-Jacket/215530/buy,Rs. 4,499,men-jacket-blazers,Jackets & Blazers,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Men-Jackets_0d10c95ceb12b465bfd976d1df0b889f_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Jackets/CAT/CAT-Men-Navy-Hooded-Sleeveless-Jacket/215530/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Spruce up your dull winter wear with the winter wear collection from construction giant Caterpillar. We suggest you team this jacket with a pair of jeans and funky sneakers to add some zing to your look this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy jacket, has an attached hood with adjustable drawstrings with tabs on the sides, sleeveless, full contrast zip closure, branding on left chest, insert pockets at front waist with contrast zip closure, a zipped insert pocket built into the lining, opening for earphone inside, adjustable drawstrings with tabs at hem<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd. global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 100% nylon<br/>Lining: 65% polyester, 35% cotton<br/>Insulation: 100% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 6' and shoulders 18") is wearing a size M<br/>Please note that CAT topwear sizes are larger than topwear from other brands - you may want to choose a smaller size than usual</p></li></ul>,26:02:2014,None
None,CAT Men Black Hooded Sleveless Jacket,http://www.myntra.com/Jackets/CAT/CAT-Men-Black-Hooded-Sleveless-Jacket/215532/buy,Rs. 4,499,men-jacket-blazers,Jackets & Blazers,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Men-Jackets_d1a5f87a610a812e037781b6f5937a50_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Jackets/CAT/CAT-Men-Black-Hooded-Sleveless-Jacket/215532/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Spruce up your dull winter wear with the winter wear collection from construction giant Caterpillar. We suggest you team this jacket with a pair of jeans and funky sneakers to add some zing to your look this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black water resistant, wind proof jacket has a breathable fabric, an attached hood with adjustable drawstrings with toggles and tabs on the sides, sleeveless, full contrast zip closure, branding at left chest, insert pockets at front waist with contrast zipped closures, a zipped insert pocket built into the lining, opening for earphone inside, adjustable drawstrings with toggles and tabs at the hem on the inside<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd. global licensees of Caterpillar Inc..</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 100% nylon<br/>Lining: 65% polyester, 35% cotton<br/>Insulation: 100% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 6' and shoulders 18") is wearing a size M</p></li></ul>,26:02:2014,None
None,CAT Men Green Hooded Sleveless Jacket,http://www.myntra.com/Jackets/CAT/CAT-Men-Green-Hooded-Sleveless-Jacket/215531/buy,Rs. 4,499,men-jacket-blazers,Jackets & Blazers,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Men-Jackets_12d7f8b345a3cef7ec090b0c32245d9c_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Jackets/CAT/CAT-Men-Green-Hooded-Sleveless-Jacket/215531/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Spruce up your dull winter wear with the winter wear collection from construction giant Caterpillar. We suggest you team this jacket with a pair of jeans and funky sneakers to add some zing to your look this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green water resistant, wind proof jacket has a breathable fabric, an attached hood with adjustable drawstrings with toggles and tabs on the sides, sleeveless, full contrast zip closure, branding at left chest, insert pockets at front waist with contrast zipped closures, a zipped insert pocket built into the lining, opening for earphone inside, adjustable drawstrings with toggles and tabs at hem on the inside<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd. global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 100% nylon<br/>Lining: 65% polyester, 35% cotton<br/>Insulation: 100% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 6' and shoulders 18") is wearing a size M</p></li></ul>,26:02:2014,None
None,CAT Men Green Bomber Jacket,http://www.myntra.com/Jackets/CAT/CAT-Men-Green-Bomber-Jacket/215529/buy,Rs. 6,899,men-jacket-blazers,Jackets & Blazers,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Men-Jackets_003531ea135f8660d0a66104fa9b17ea_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Jackets/CAT/CAT-Men-Green-Bomber-Jacket/215529/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL', 'XXL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Spruce up your dull winter wear with the winter wear collection from construction giant Caterpillar. We suggest you team this jacket with a pair of jeans and funky sneakers to add some zing to your look this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green padded jacket with quilt stitched detail, woven, full zipped closure at front, mock collar, long sleeves with ribbed cuffs, welt pockets with with zipped flap closures on either side at front waist, brand detail at left chest, yoke at back, elasticated hem<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their  respective logos, "Caterpillar Yellow" and "Caterpillar Corporate  Yellow", as well as corporate and product identity used herein, are  trademarks of Caterpillar and may not be used without permission. Tata  International Wolverine Brands Limited, distributor of Cat Footwear,  Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp;  Grown-Up Licenses Ltd. global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell 1: 100% nylon<br/>Shell 2: 55% nylon, 45% cotton<br/>Lining: 100% nylon<br/>Insulation: 100% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 6' and shoulders 18") is wearing a size M<br/>Please note that CAT topwear sizes are larger than topwear from other brands - you may want to choose a smaller size than usual</p></li></ul>,26:02:2014,None
None,CAT Men Navy Bomber Jacket,http://www.myntra.com/Jackets/CAT/CAT-Men-Navy-Bomber-Jacket/215528/buy,Rs. 6,899,men-jacket-blazers,Jackets & Blazers,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Men-Jackets_dd6e7580f9a0d2f856dd5b2a3578df75_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Jackets/CAT/CAT-Men-Navy-Bomber-Jacket/215528/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL', 'XXL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Spruce up your dull winter wear with the winter wear collection from construction giant Caterpillar. We suggest you team this jacket with a pair of jeans and funky sneakers to add some zing to your look this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy padded jacket with quilt stitched detail, woven, full zipped closure at front, mock collar, long sleeves with ribbed cuffs, welt pockets with with zipped flap closures on either side at front waist, brand detail at left chest, yoke at back, elasticated hem<br/><br/>www.cat.com (c) 2013 Wolverine WorldWide. CAT, CATERPILLAR, their respective logos, "CaterpillarYellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks ofCaterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited Grown-Up Licenses Ltd. global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell 1: 100% nylon<br/>Shell 2: 55% nylon, 45% cotton<br/>Lining: 100% nylon<br/>Insulation: 100% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 6' and shoulders 18") is wearing a size M<br/>Please note that CAT topwear sizes are larger than topwear from other brands - you may want to choose a smaller size than usual</p></li></ul>,26:02:2014,None
None,CAT Men Black Hooded Sleveless Jacket,http://www.myntra.com/Jackets/CAT/CAT-Men-Black-Hooded-Sleveless-Jacket/215532/buy,Rs. 4,499,men-jacket-blazers,Jackets & Blazers,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Men-Jackets_d1a5f87a610a812e037781b6f5937a50_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Jackets/CAT/CAT-Men-Black-Hooded-Sleveless-Jacket/215532/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Spruce up your dull winter wear with the winter wear collection from construction giant Caterpillar. We suggest you team this jacket with a pair of jeans and funky sneakers to add some zing to your look this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black water resistant, wind proof jacket has a breathable fabric, an attached hood with adjustable drawstrings with toggles and tabs on the sides, sleeveless, full contrast zip closure, branding at left chest, insert pockets at front waist with contrast zipped closures, a zipped insert pocket built into the lining, opening for earphone inside, adjustable drawstrings with toggles and tabs at the hem on the inside<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd. global licensees of Caterpillar Inc..</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 100% nylon<br/>Lining: 65% polyester, 35% cotton<br/>Insulation: 100% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 6' and shoulders 18") is wearing a size M</p></li></ul>,26:02:2014,None
None,CAT Men Green Bomber Jacket,http://www.myntra.com/Jackets/CAT/CAT-Men-Green-Bomber-Jacket/215529/buy,Rs. 6,899,men-jacket-blazers,Jackets & Blazers,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Men-Jackets_003531ea135f8660d0a66104fa9b17ea_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Jackets/CAT/CAT-Men-Green-Bomber-Jacket/215529/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL', 'XXL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Spruce up your dull winter wear with the winter wear collection from construction giant Caterpillar. We suggest you team this jacket with a pair of jeans and funky sneakers to add some zing to your look this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green padded jacket with quilt stitched detail, woven, full zipped closure at front, mock collar, long sleeves with ribbed cuffs, welt pockets with with zipped flap closures on either side at front waist, brand detail at left chest, yoke at back, elasticated hem<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their  respective logos, "Caterpillar Yellow" and "Caterpillar Corporate  Yellow", as well as corporate and product identity used herein, are  trademarks of Caterpillar and may not be used without permission. Tata  International Wolverine Brands Limited, distributor of Cat Footwear,  Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp;  Grown-Up Licenses Ltd. global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell 1: 100% nylon<br/>Shell 2: 55% nylon, 45% cotton<br/>Lining: 100% nylon<br/>Insulation: 100% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 6' and shoulders 18") is wearing a size M<br/>Please note that CAT topwear sizes are larger than topwear from other brands - you may want to choose a smaller size than usual</p></li></ul>,26:02:2014,None
None,CAT Men Green Hooded Sleveless Jacket,http://www.myntra.com/Jackets/CAT/CAT-Men-Green-Hooded-Sleveless-Jacket/215531/buy,Rs. 4,499,men-jacket-blazers,Jackets & Blazers,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Men-Jackets_12d7f8b345a3cef7ec090b0c32245d9c_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Jackets/CAT/CAT-Men-Green-Hooded-Sleveless-Jacket/215531/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Spruce up your dull winter wear with the winter wear collection from construction giant Caterpillar. We suggest you team this jacket with a pair of jeans and funky sneakers to add some zing to your look this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green water resistant, wind proof jacket has a breathable fabric, an attached hood with adjustable drawstrings with toggles and tabs on the sides, sleeveless, full contrast zip closure, branding at left chest, insert pockets at front waist with contrast zipped closures, a zipped insert pocket built into the lining, opening for earphone inside, adjustable drawstrings with toggles and tabs at hem on the inside<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd. global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 100% nylon<br/>Lining: 65% polyester, 35% cotton<br/>Insulation: 100% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 6' and shoulders 18") is wearing a size M</p></li></ul>,26:02:2014,None
None,CAT Men Navy Hooded Sleeveless Jacket,http://www.myntra.com/Jackets/CAT/CAT-Men-Navy-Hooded-Sleeveless-Jacket/215530/buy,Rs. 4,499,men-jacket-blazers,Jackets & Blazers,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Men-Jackets_0d10c95ceb12b465bfd976d1df0b889f_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Jackets/CAT/CAT-Men-Navy-Hooded-Sleeveless-Jacket/215530/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Spruce up your dull winter wear with the winter wear collection from construction giant Caterpillar. We suggest you team this jacket with a pair of jeans and funky sneakers to add some zing to your look this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy jacket, has an attached hood with adjustable drawstrings with tabs on the sides, sleeveless, full contrast zip closure, branding on left chest, insert pockets at front waist with contrast zip closure, a zipped insert pocket built into the lining, opening for earphone inside, adjustable drawstrings with tabs at hem<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd. global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 100% nylon<br/>Lining: 65% polyester, 35% cotton<br/>Insulation: 100% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 6' and shoulders 18") is wearing a size M<br/>Please note that CAT topwear sizes are larger than topwear from other brands - you may want to choose a smaller size than usual</p></li></ul>,26:02:2014,None
