None,Reebok Unisex Black Sports Sandals,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Unisex-Black-Sports-Sandals/10114/buy,Rs. 1,274,men-sandals,Casual & Sports Sandals,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Unisex-Adventure-Black-Sports-Sandals_3a510d568ab22d7e1ab0d864e3311bd4_images_1080_1440_mini.jpg,Rs. 1,499,None,men,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Unisex-Black-Sports-Sandals/10114/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['5', '6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Float in comfort with this pair of sports sandals from Reebok. Comfortable yet sturdy, it is great for a stroll in the park or a walk on a trek trail.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, black sports sandals with Velcro closures<br/>Synthetic upper with straps across the forefoot with Velcro closure and branding<br/>Has an ankle loop with a Velcro closure and branding<br/>Textured footbed<br/>Tough and textured outsole with patterned nubs<br/>Warranty: 3 months from the date of purchase against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li></ul>,26:02:2014,None
None,Reebok Men Blue Road Connect Sports Sandals,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Blue-Road-Connect-Sports-Sandals/127068/buy,Rs. 1,799,men-sandals,Casual & Sports Sandals,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Blue-ROAD-CONNECT-Sports-Sandals_9ab27b326e41883e9a8825a3c94955b2_images_1080_1440_mini.jpg,Rs. 1,999,None,men,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Blue-Road-Connect-Sports-Sandals/127068/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Combining the breathable comfort of floaters with performance-oriented design of sports shoes, this pair of Reebok sandals has been designed for men who like adventure. With a tough sole designed to take on rough terrains, it is a good pair to have when going trekking.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed blue and grey sandals with Velcro fastening<br/>Synthetic upper, has forefoot strap with triangular cut-outs, Velcro closure and branding, ankle loop with Velcro closure, branding and a loop at the backfoot<br/>Soft footbed with print<br/>Tough outsole with lugs and grooves<br/>Warranty: 3 months warranty from the date of purchase, against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><br/></li></ul>,26:02:2014,None
None,Reebok Men White Absolute Trail Sports Sandals,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-White-Absolute-Trail-Sports-Sandals/214800/buy,Rs. 1,619,men-sandals,Casual & Sports Sandals,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Sports-Sandals_be8b81a6a45b4c69c63bf4f81fe0686d_images_1080_1440_mini.jpg,Rs. 1,799,None,men,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-White-Absolute-Trail-Sports-Sandals/214800/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Get your gear for outdoor  adventures ready with this pair of sports sandals from Reebok.  Structurally sound and featuring a functional design, it is a durable  pair that will outlast heavy duty exercise routines.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, white sports sandals, with grey accents, has stitched details and Velcro fastening<br/>Synthetic upper, a strap across the forefoot with branding and Velcro closure, down the midfoot on the sides, with branding on one side, has midfoot strap with branding, Velcro closure and backfoot strap with a small cushioned pad at heel and Velcro closure<br/>Soft footbed with nubs<br/>Tough, textured outsole with lugs and grooves<br/>Warranty: 3 months from the date of purchase, against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>PU<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Reebok Men Black Coalition Sports Sandals,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Black-Coalition-Sports-Sandals/127106/buy,Rs. 1,619,men-sandals,Casual & Sports Sandals,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Black-COALITION-Sports-Sandals_2b8b4113ef27d19e778b8ec9026bfb9f_images_1080_1440_mini.jpg,Rs. 1,799,None,men,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Black-Coalition-Sports-Sandals/127106/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Featuring a unique single strap fit, the Coalition from Reebok has perfected the art of providing customised fits. With breathable comfort and a sporty design, it is a must-have for all those who love adventures and the outdoors.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed black sandals with Velcro fastenings<br/>Synthetic upper with blue stitched detailing, has a single strap that functions as the forefoot strap and extends diagonally to connect to the midfoot strap with a Velcro closure and branding, a backfoot strap with branding<br/>Soft footbed with a textured surface<br/>Tough outsole with grooves and lugs<br/>Warranty: 3 months warranty from the date of purchase, against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><br/></li></ul>,26:02:2014,None
None,Reebok Men Brown Absolute Trail Sports Sandals,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Brown-Absolute-Trail-Sports-Sandals/214803/buy,Rs. 1,619,men-sandals,Casual & Sports Sandals,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Brown-Absolute-Trail-Sports-Sandals_122790a1676128d4a46757f47b0b7edd_images_1080_1440_mini.jpg,Rs. 1,799,None,men,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Brown-Absolute-Trail-Sports-Sandals/214803/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Get your gear for outdoor  adventures ready with this pair of sports sandals from Reebok.  Structurally sound and featuring a functional design, it is a durable  pair that will outlast heavy duty exercise routines.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, brown sports sandals, has stitched details and Velcro fastening<br/>Synthetic upper, a strap across the forefoot with branding and Velcro closure, down the midfoot on the sides, with branding on one side, has midfoot strap with branding, Velcro closure and backfoot strap with a small cushioned pad at heel and Velcro closure<br/>Soft footbed with nubs<br/>Tough, textured outsole with lugs and grooves<br/>Warranty: 3 months from the date of purchase, against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>PU<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Reebok Men Black Coalition Sandals,http://www.myntra.com/Sandals/Reebok/Reebok-Men-Black-Coalition-Sandals/43378/buy,Rs. 1,619,men-sandals,Casual & Sports Sandals,Reebok,http://myntra.myntassets.com/images/style/properties/df1954008feb6b1bc6310e93bddfc4ac_images_1080_1440_mini.jpg,Rs. 1,799,None,men,http://www.myntra.com/Sandals/Reebok/Reebok-Men-Black-Coalition-Sandals/43378/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['4', '5', '6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A versatile sports sandal we just love, the styling and the comfort in Coalition II make this a closet essential. We guarantee this pair will become an all-season favourite - you can wear it during the summer or the monsoon!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Fabric forefoot and midfoot straps and an ankle loop with Velcro closure<br/> Has nubs all over the footbed for an all-day-massage feel<br/> TPU outsole with upraised regions with herringbone grooves all over</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Fabric, rubber<br/> Wipe with a clean cloth to remove dust<br/>Click <a href="http://www.myntra.com/textile-care">here</a> for the perfect care products for shoes made of textile/fabric</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><br/></li></ul>,26:02:2014,None
None,Reebok Men Grey & Green Gear Up LP Sports Sandals,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Grey-&-Green-Gear-Up-LP-Sports-Sandals/202523/buy,Rs. 1,439,men-sandals,Casual & Sports Sandals,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Grey-&-Green-Gear-Up-LP-Sports-Sandals_5fc59cf083c186b099aaf4f160866d7c_images_1080_1440_mini.jpg,Rs. 1,599,None,men,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Grey-&-Green-Gear-Up-LP-Sports-Sandals/202523/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Get your gear for outdoor adventures ready with this pair of sports sandals from Reebok. Structurally sound and featuring a functional design, it is a durable pair that will outlast bad terrains and heavy duty exercise routines.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, grey and green sports sandals with Velcro closures<br/>Synthetic upper, forefoot strap with branding and Velcro closure, ankle loop with cushioned back and Velcro closure, vertical strap connecting the forefoot strap and ankle loop<br/>Cushioned footbed with circular nubs<br/>Sturdy, textured rubber outsole with patterned grooves and nubs<br/>Warranty: 3 months warranty from the date of purchase against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Reebok Men Black & Yellow Gear Up Sports Sandals,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Black-&-Yellow-Gear-Up-Sports-Sandals/181362/buy,Rs. 1,359,men-sandals,Casual & Sports Sandals,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Flip-Flops_bff2f4fdc8526c40237f74dc2521a582_images_1080_1440_mini.jpg,Rs. 1,599,None,men,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Black-&-Yellow-Gear-Up-Sports-Sandals/181362/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Featuring a super-comfortable and adjustable strap fit, the Gear Up sports sandals from Reebok has perfected the art of providing customised fits. With comfortable sporty design, it is a must-have for all those who love adventure and outdoors.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed black and yellow sports sandals with Velcro closure<br/>Synthetic upper, has a vertical strap connecting the forefoot strap and the ankle loop secured with Velcro closures, branding on the forefoot strap<br/>Comfortable footbed with circular nubs<br/>Tough and textured outsole with patterned grooves and nubs<br/>Warranty: 3 months warranty from the date of purchase, against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><br/></li></ul>,26:02:2014,None
None,Reebok Men Grey Coalition II Sports Sandals,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Grey-Coalition-II-Sports-Sandals/127105/buy,Rs. 1,619,men-sandals,Casual & Sports Sandals,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Grey-COALITION-II-Sports-Sandals_4ce3ab6dedd66cf61fa17055f4946d98_images_1080_1440_mini.jpg,Rs. 1,799,None,men,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Grey-Coalition-II-Sports-Sandals/127105/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Featuring a unique single strap fit, the Coalition II from Reebok has perfected the art of providing customised fits. With breathable comfort and a sporty design, it is a must-have for all those who love adventures and the outdoors.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed grey sports sandals with Velcro fastenings<br/>Synthetic upper with red stitched detailing, has a single strap that functions as the forefoot strap and extends diagonally to connect to the midfoot strap with a Velcro closure and branding, a backfoot strap with branding<br/>Soft footbed with a textured surface<br/>Tough outsole with grooves and lugs<br/>Warranty: 3 months warranty from the date of purchase, against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><br/></li></ul>,26:02:2014,None
None,Reebok Men Black Thrust Sports Sandals,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Black-Thrust-Sports-Sandals/127086/buy,Rs. 1,799,men-sandals,Casual & Sports Sandals,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Black-THRUST-Sports-Sandals_a2e2cfd27ad0937510efa6a57053970b_images_1080_1440_mini.jpg,Rs. 1,999,None,men,http://www.myntra.com/Sports-Sandals/Reebok/Reebok-Men-Black-Thrust-Sports-Sandals/127086/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Get your gear for adventures and outdoors ready with these sports sandals from Reebok. Structurally sound and featuring a functional design, it is a durable pair that will outlast bad terrains and heavy duty exercise routines.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, black sports sandals with Velcro fastening<br/>Synthetic upper, has forefoot strap with Velcro closure, midfoot strap with branding and Velcro closure and backfoot strap with branding and pull loop<br/>Soft and textured footbed<br/>Tough rubber outsole with lugs and grooves<br/>Warranty: 3 months from the date of purchase, against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
