None,Roadster Men Blue Sweater,http://www.myntra.com/Sweaters/Roadster/Roadster-Men-Blue-Sweater/214651/buy,Rs. 312,winterwear,Winterwear - Flat 30%,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Maroon-Sweater_51bfd095370f4bbeebdd6c0df0150a61_images_1080_1440_mini.JPG,Rs. 799,None,winterwear,http://www.myntra.com/Sweaters/Roadster/Roadster-Men-Blue-Sweater/214651/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This sweater from Roadster is an evergreen essential that works with everything in your wardrobe. This versatile piece can be layered over both - your casual and formal outfits.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue sweater, knit, sleeveless, navy arm holes, ribbed V neck, ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Acrylic<br/>Hand wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 6' and shoulder 18") is wearing a size M</p></li></ul>,26:02:2014,None
None,Roadster Men Blue Denim Jacket,http://www.myntra.com/Jackets/Roadster/Roadster-Men-Blue-Denim-Jacket/199461/buy,Rs. 2,499,winterwear,Winterwear - Flat 30%,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Jackets_65a3c7220e2cb4fbfb2252fbb8895890_images_1080_1440_mini.jpg,None,None,winterwear,http://www.myntra.com/Jackets/Roadster/Roadster-Men-Blue-Denim-Jacket/199461/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['M', 'L', 'XL', 'XXL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This trendy jacket by Roadster is a must-have for the upcoming chilly season. The versatile colour and comfortable fit of this piece sets it apart from the rest. Wear it with a graphic tee or vest, jeans and leather trainers for a cool college look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue jacket, woven, has a mandarin collar with a press buttoned closure, long sleeves with press buttoned cuffs, full zipped opening down front, panelled with stitch detailing throughout, contrast panel across chest with brand patch at left side, two insert pockets at either side of waist, panelled hemline with press buttoned tab detailing at sides</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton blend<br/>Dry clean<br/>You are unique and wouldn't like it if the Creator made too many people ditto.<br/>Similarly, this product is unique, handmade and crafted with love.<br/>There are no two products we make, which will ever be ditto.<br/>To maintain a high degree of authenticity, we advise our patrons to wash our products separately and expect some fading, colour bleeding and wear and tear.<br/>The article ages uniquely as you treat it, acquiring your personalised feel. Go on, enjoy this specially created product to the hilt. Have fun.</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Slim fit<br/>The model (height 6' and shoulders 18") is wearing a size M</p></li></ul>,26:02:2014,None
None,Roadster Men Black Denim Jacket,http://www.myntra.com/Jackets/Roadster/Roadster-Men-Black-Denim-Jacket/199463/buy,Rs. 2,499,winterwear,Winterwear - Flat 30%,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Black-Denim-Jacket_bb42421fea63d8a8df05d21cb4c989a1_images_1080_1440.jpg,None,None,winterwear,http://www.myntra.com/Jackets/Roadster/Roadster-Men-Black-Denim-Jacket/199463/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['M', 'L', 'XL', 'XXL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This trendy jacket by Roadster is a must-have for the upcoming chilly season. The versatile colour and comfortable fit of this piece sets it apart from the rest. Wear it with a graphic tee or vest, jeans and leather trainers for a cool college look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black jacket, woven, has a mandarin collar with a press buttoned closure, long sleeves with press buttoned cuffs, full zipped opening down front, welt pockets with zip closure at either sides of chest, panelled with stitch detailing throughout, contrast binding across chest, sleeves and sides, brand patch at left side, two insert pockets at either side of waist, back yoke with contrast binding below, panelled hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton<br/>Machine wash cold<br/>You are unique and wouldn't like it if the Creator made too many people ditto.<br/>Similarly, this product is unique, handmade and crafted with love.<br/>There are no two products we make, which will ever be ditto.<br/>To maintain a high degree of authenticity, we advise our patrons to wash our products separately and expect some fading, colour bleeding and wear and tear.<br/>The article ages uniquely as you treat it, acquiring your personalised feel. Go on, enjoy this specially created product to the hilt. Have fun.</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Slim fit<br/>The model (height 6' and shoulders 18") is wearing a size M</p></li></ul>,26:02:2014,None
None,Roadster Women Beige & Green Striped Sweater,http://www.myntra.com/Sweaters/Roadster/Roadster-Women-Beige-&-Green-Striped-Sweater/210225/buy,Rs. 468,winterwear,Winterwear - Flat 30%,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Women-Beige-&-Green-Striped-Sweater_2a803c2082994c1a94efd450f10ddd26_images_1080_1440_mini.jpg,Rs. 1,199,None,winterwear,http://www.myntra.com/Sweaters/Roadster/Roadster-Women-Beige-&-Green-Striped-Sweater/210225/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Dress up in style this winter with Roadster's range of snug sweaters. This piece is best styled with distressed boyfriend denim jeans and canvas slip-ons.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Beige and green striped sweater, has a ribbed V neck, attached hood with ribbed detailing, long sleeves with fold over ribbed cuffs, stitch detail near arm holes, kangaroo pockets at front waist, vented hem, rolled hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% acrylic<br/>Dry clean preferred</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Roadster Women Orange & Peach Ombre Jacket,http://www.myntra.com/Jackets/Roadster/Roadster-Women-Orange-&-Peach-Ombre-Jacket/147554/buy,Rs. 500,winterwear,Winterwear - Flat 30%,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Women-Orange-&-Peach-Sleeveless-Ombre-Jacket_f98d7c440206e5c4b398aac0b206fddd_images_1080_1440.jpg,Rs. 999,None,winterwear,http://www.myntra.com/Jackets/Roadster/Roadster-Women-Orange-&-Peach-Ombre-Jacket/147554/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Ride the ombre trend wave with this uber cool jacket by Roadster. Style it with a plain tee, distressed shorts and ankle boots for a rock star look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Orange and peach ombre dyed jacket, spread collar, sleeveless, patch pockets with buttoned flaps at chest, buttoned placket at front with tuck detail at either side, hem band with buttoned tab at sides</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Roadster Men Maroon & Navy Sweater,http://www.myntra.com/Sweaters/Roadster/Roadster-Men-Maroon-&-Navy-Sweater/154460/buy,Rs. 429,winterwear,Winterwear - Flat 30%,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Maroon-&-Navy-Sweater_d5deace39b12f5f148ea7aa863d7c3b5_images_1080_1440_mini.jpg,Rs. 1,099,None,winterwear,http://www.myntra.com/Sweaters/Roadster/Roadster-Men-Maroon-&-Navy-Sweater/154460/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Step out in style this winter with this trendy yet comfortable Roadster sweater. Its soft fabric will keep you warm and cosy all day long while the versatile colour will add a masculine touch to your winter wardrobe. Wear it with a pair of jeans, black knitted muffler and loafers for maximum effect.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Maroon and navy sweater, ribbed round neck, long raglan sleeves with ribbed cuffs, appliqu<span class="st">é</span> detail at chest, ribbed hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Machine wash warm<br/>You are unique and wouldn't like it if the creator made too many people ditto. Similarly, this product is unique, handmade and crafted with love. There are no two products we make, which will ever be ditto. To maintain a high degree of authenticity, we advise our patrons to wash our products separately and expect some fading, colour bleeding and wear &amp; tear. The article ages uniquely as you treat it, acquiring your personalised feel. Go on, enjoy this specially created product to the hilt. Have fun.</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 6' and shoulders 18") is wearing a size M</p></li></ul>,26:02:2014,None
None,Roadster Men Charcoal Grey & Black Striped Norino Sweater,http://www.myntra.com/Sweaters/Roadster/Roadster-Men-Charcoal-Grey-&-Black-Striped-Norino-Sweater/154447/buy,Rs. 429,winterwear,Winterwear - Flat 30%,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Sweaters_cc4f9911398744c39afd234b66f76426_images_1080_1440_mini.jpg,Rs. 1,099,None,winterwear,http://www.myntra.com/Sweaters/Roadster/Roadster-Men-Charcoal-Grey-&-Black-Striped-Norino-Sweater/154447/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Flaunt impeccable style this season along with being cosy and warm with this classic sweater from Roadster. Team this piece with jeans and sneakers for a winter evening out.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black and charcoal grey striped sweater, has ribbed round neck, solid charcoal grey long sleeves with ribbed cuffs, brand patch at left chest, ribbed hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Machine wash warm<br/>You are unique and wouldn't like it if the Creator made too many people ditto. Similarly, this product is unique, handmade and crafted with love. There are no two products we make, which will ever be ditto. To maintain a high degree of authenticity, we advise our patrons to wash our products separately and expect some fading, colour bleeding and wear and tear. The article ages uniquely as you treat it, acquiring your personalised feel. Go on, enjoy this specially created product to the hilt. Have fun.</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 6' and shoulders 18") is wearing a size M</p></li></ul>,26:02:2014,None
None,Roadster Women Grey Melange & Blue Striped Sweater,http://www.myntra.com/Sweaters/Roadster/Roadster-Women-Grey-Melange-&-Blue-Striped-Sweater/210224/buy,Rs. 468,winterwear,Winterwear - Flat 30%,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Women-Grey-Melange-&-Blue-Striped-Sweater_ebc48284a5f4efb4980d444cfd3a5430_images_1080_1440_mini.jpg,Rs. 1,199,None,winterwear,http://www.myntra.com/Sweaters/Roadster/Roadster-Women-Grey-Melange-&-Blue-Striped-Sweater/210224/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Dress up in style this winter with Roadster's range of snug sweaters. This one is best styled with distressed boyfriend denim jeans and canvas slip-ons.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Grey melange and blue striped sweater, has a ribbed V neck, attached hood with ribbed detailing, long sleeves with fold over ribbed cuffs, stitch detail near arm holes, kangaroo pockets at front waist, vented hem, rolled hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% acrylic<br/>Dry clean preferred</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Roadster Woman Black Sweater,http://www.myntra.com/Sweaters/Roadster/Roadster-Woman-Black-Sweater/211445/buy,Rs. 429,winterwear,Winterwear - Flat 30%,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Woman-Black-Sweater_951817b58171289f3d8168a53fe8ac45_images_1080_1440_mini.JPG,Rs. 1,099,None,winterwear,http://www.myntra.com/Sweaters/Roadster/Roadster-Woman-Black-Sweater/211445/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['XS', 'S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Dress up in style this winter when you are wearing a piece from Roadster's range of sweaters. This one is best styled with distressed boyfriend denims and canvas slip-ons.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black sweater, knitted, ribbed stylised V shaped round neck, short sleeves with ribbed upturned cuff detail along arm holes, ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Viscose and nylon blend<br/>Handwash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Roadster Woman Brown Sweater,http://www.myntra.com/Sweaters/Roadster/Roadster-Woman-Brown-Sweater/211444/buy,Rs. 429,winterwear,Winterwear - Flat 30%,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Woman-Brown-Sweater_3aac8f5e5bab54d3ecda8c74aead9f96_images_1080_1440_mini.jpg,Rs. 1,099,None,winterwear,http://www.myntra.com/Sweaters/Roadster/Roadster-Woman-Brown-Sweater/211444/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['XS', 'S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Dress up in style this winter when you are wearing a piece from Roadster's range of sweaters. This one is best styled with distressed boyfriend denims and canvas slip-ons.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown sweater, knitted, ribbed stylised V shaped round neck, short sleeves with ribbed upturned cuff detail along arm holes, ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Viscose and nylon blend<br/>Handwash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Roadster Women Purple Sweater,http://www.myntra.com/Sweaters/Roadster/Roadster-Women-Purple-Sweater/156489/buy,Rs. 312,winterwear,Winterwear - Flat 30%,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Women-Purple-Sweater_14b2cb93d5bafe26f51a5d4648007a87_images_1080_1440_mini.jpg,Rs. 799,None,winterwear,http://www.myntra.com/Sweaters/Roadster/Roadster-Women-Purple-Sweater/156489/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Dress up in style this winter when you are wearing a piece from Roadster's range of sweaters. This one is best styled with distressed boyfriend denims and canvas slip-ons.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Purple sweater, ribbed V neck, cap sleeves with ribbed cuffs, ribbed hemline</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size M</p></li></ul>,26:02:2014,None
