None,Clarks Women Dark Brown Neeve Ella GTX Boots,http://www.myntra.com/Flats/Clarks/Clarks-Women-Dark-Brown-Neeve-Ella-GTX-Boots/198746/buy,Rs. 9,999,women-boots,Boots,Clarks,http://myntra.myntassets.com/images/style/properties/Clarks-Women-Heels_69a809d50c108fdfc7b8326ffe72ad4c_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Clarks/Clarks-Women-Dark-Brown-Neeve-Ella-GTX-Boots/198746/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['4', '6'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>With a distinct English country look that combines style and laidback comfort, these women's knee-high boots come in dark brown leather with an attractive waxed finish. This stylish look is practical too - with Gore-tex(R) technology to keep feet dry and Active-air<strong><a href="http://www.clarks.martjack.com/pages/Active-Air-women/pgid-198225.aspx"></a></strong> cushioning underfoot.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, dark brown boots with a zipper closure and high top styling<br/>Leather  upper with overlays and stitched detail, has an elasticated insert at the mouth and  a pull tab detail at the back and a zipped closure at the side<br/>Soft and padded footbed with branding at the heel<br/>Tough and textured outsole with a stacked heel<br/>Has Gore-Tex(R) Technology and Active Air cushioning<br/>Warranty: 3 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Use a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/brown-smooth-leather-care">here</a> for the perfect care products for brown leather shoes</p></li></ul>,26:02:2014,None
None,Carlton London Women Black Boots,http://www.myntra.com/Flats/Carlton-London/Carlton-London-Women-Black-Boots/187162/buy,Rs. 3,295,women-boots,Boots,Clarks,http://myntra.myntassets.com/images/style/properties/Carlton-London-Women-Flats_0857ebb45d82b854f851c67667ff60b8_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Carlton-London/Carlton-London-Women-Black-Boots/187162/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair of boots from Carlton London features a classic design and is a perfect addition to your shoe collection. Wear it with your smart casuals for a sophisticated and chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, black boots with a zipped closure and high top styling<br/>Synthetic upper with mock central lace-ups and a tab across the midfoot that is secured with a buckle closure<br/>Reinforced overlay at the heel collar<br/>Zipped closure at the side, tab detail near the mouth that is secured with a buckle closure<br/>Soft footbed with branding<br/>Tough and textured outsole with a stack heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic leather<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Steve Madden Women Black Boots,http://www.myntra.com/Flats/Steve-Madden/Steve-Madden-Women-Black-Boots/230002/buy,Rs. 7,999,women-boots,Boots,Clarks,http://myntra.myntassets.com/images/style/properties/Steve-Madden-Women-Black-Boots_7c847052719900f7b4edcad5ee44c9b7_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Steve-Madden/Steve-Madden-Women-Black-Boots/230002/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair of boots from Steve Madden is a must-have. We recommend for a chic look you wear this with a short dress and a leather jacket.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, black boots with central lace-ups and high top styling <br/>Suede upper with stitched detail and overlays, zipped feature at the heel collar<br/>Soft and textured footbed with branding at the heel<br/>Tough and textured outsole with a slightly raised heel<br/>Comes with a pair of teal blue laces<br/>Warranty: 3 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Clean with a branded leather conditioner<br/>Click <a href="http://www.myntra.com/black-smooth-leather-care">here</a> for the perfect care products for black leather shoes</p></li></ul>,26:02:2014,None
None,Clarks Women Black Kimber Azizi Boots,http://www.myntra.com/Heels/Clarks/Clarks-Women-Black-Kimber-Azizi-Boots/161624/buy,Rs. 7,999,women-boots,Boots,Clarks,http://myntra.myntassets.com/images/style/properties/Clarks-Women-Black-KIMBER-AZIZI-Heels_8582e2e30159f2bcd5920653d80225ff_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/Clarks/Clarks-Women-Black-Kimber-Azizi-Boots/161624/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '6'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Style your casual looks to stand out and look extremely fashionable with this pair of high top boots from Clarks. Crafted in leather with minimalist design, it is a must-have pair.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pointed toe, black boots with zipped closure and high top styling<br/>Leather  upper, has a zipped  closure on the heel collar with branding<br/>Cushioned footbed with branding at the heel<br/>Tough, textured outsole with a slim heel that has a plastic heel cap<br/>Warranty: 3 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 3.2"</p></li></ul>,26:02:2014,None
None,Carlton London Women Brown Leather Boots,http://www.myntra.com/Flats/Carlton-London/Carlton-London-Women-Brown-Leather-Boots/221454/buy,Rs. 2,495,women-boots,Boots,Clarks,http://myntra.myntassets.com/images/style/properties/Carlton-London-Women-Flats_45e2e57607465d9c028cf8001052f72e_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Carlton-London/Carlton-London-Women-Brown-Leather-Boots/221454/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A stylish boot for casual outings, this pair from Carlton London is replete with features to enhance your style as well as provide comfort. We recommend that you wear these shoes with ankle length, slim fit chinos for a look that is undeniably fashionable.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, tan brown boots with central lace-ups and mid top styling<br/>Leather upper with stitch and overlay detail<br/>Soft padded tongue and inner with synthetic fur lining<br/>Cushioned footbed with branding<br/>Tough TPR outsole with a slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/brown-smooth-leather-care">here</a> for the perfect care products for brown leather shoes</p></li></ul>,26:02:2014,None
None,Nell Women Blue Boots,http://www.myntra.com/Flats/Nell/Nell-Women-Blue-Boots/164074/buy,Rs. 1,499,women-boots,Boots,Clarks,http://myntra.myntassets.com/images/style/properties/Nell-Women-Blue-Boots_82d63c8e7decf9d0e5e60a8e637d8728_images_1080_1440_mini.jpg,Rs. 2,499,None,women,http://www.myntra.com/Flats/Nell/Nell-Women-Blue-Boots/164074/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8', '9'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Giving your regular shoes a fashionable twist, this pair of boots from Nell  stands out. The synthetic upper with buckle and spiked detail bring a bold dimension to the pair. We recommend  that you team this pair with Western casuals for a  look that becomes you.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, blue boots with zipped closure and high top styling<br/>Synthetic upper with stitched detail and overlays, has metallic spike details, strap with buckle detail and zipper closure on either side<br/>Soft footbed with branding at the heel<br/>Tough rubber outsole with an upraised heel<br/>Warranty: 30 days against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Alberto Torresi Women Black Boots,http://www.myntra.com/Flats/Alberto-Torresi/Alberto-Torresi-Women-Black-Boots/173058/buy,Rs. 2,895,women-boots,Boots,Clarks,http://myntra.myntassets.com/images/style/properties/Alberto-Torresi-Women-Flats_a7f23c9fe277c8044e16b4e1194cc860_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Alberto-Torresi/Alberto-Torresi-Women-Black-Boots/173058/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['2', '3', '4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted and designed to complement your femininity, this piece from Alberto Torresi is one of those fashionable things that you must-have. Wear them with your casual outfit for an instant style boost.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, black boots with slip-on and high top styling<br/>Suede upper with overlays and stitch detail, has a strap with buckle detail and reinforced heel collar<br/>Soft footbed with branding at the heel<br/>Tough outsole with pattern detail at the forefoot<br/>Warranty: 3 months from the date of purchase against genuine manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Suede, TPR<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Steve Madden Women Black Boots,http://www.myntra.com/Flats/Steve-Madden/Steve-Madden-Women-Black-Boots/229997/buy,Rs. 7,999,women-boots,Boots,Clarks,http://myntra.myntassets.com/images/style/properties/Steve-Madden-Women-Formal-Shoes_656bc357ce42cf91b6131902117fe947_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Steve-Madden/Steve-Madden-Women-Black-Boots/229997/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair of boots from Steve Madden is a must-have. We recommend for a chic look you wear this with a short dress and a leather jacket.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pointed toe, black boots with slip-on styling and high tops stitched detail and overlays<br/>Has a leather upper with panel detailing at the back<br/>Tough and textured outsole with a slightly raised heel<br/>Warranty: 3 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Clean with a branded leather conditioner<br/>Click <a href="http://www.myntra.com/black-smooth-leather-care">here</a> for the perfect care products for black leather shoes</p></li></ul>,26:02:2014,None
None,Clarks Women Dark Brown Neeve Ella GTX Boots,http://www.myntra.com/Flats/Clarks/Clarks-Women-Dark-Brown-Neeve-Ella-GTX-Boots/198746/buy,Rs. 9,999,women-boots,Boots,Clarks,http://myntra.myntassets.com/images/style/properties/Clarks-Women-Heels_69a809d50c108fdfc7b8326ffe72ad4c_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Flats/Clarks/Clarks-Women-Dark-Brown-Neeve-Ella-GTX-Boots/198746/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>With a distinct English country look that combines style and laidback comfort, these women's knee-high boots come in dark brown leather with an attractive waxed finish. This stylish look is practical too - with Gore-tex(R) technology to keep feet dry and Active-air<strong><a href="http://www.clarks.martjack.com/pages/Active-Air-women/pgid-198225.aspx"></a></strong> cushioning underfoot.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, dark brown boots with a zipper closure and high top styling<br/>Leather  upper with overlays and stitched detail, has an elasticated insert at the mouth and  a pull tab detail at the back and a zipped closure at the side<br/>Soft and padded footbed with branding at the heel<br/>Tough and textured outsole with a stacked heel<br/>Has Gore-Tex(R) Technology and Active Air cushioning<br/>Warranty: 3 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Use a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/brown-smooth-leather-care">here</a> for the perfect care products for brown leather shoes</p></li></ul>,26:02:2014,None
None,Clarks Women Brown Lora Beccles Boots,http://www.myntra.com/Heels/Clarks/Clarks-Women-Brown-Lora-Beccles-Boots/198742/buy,Rs. 7,649,women-boots,Boots,Clarks,http://myntra.myntassets.com/images/style/properties/Clarks-Women-Heels_7aaad6733bd226109ae8ae5b7ee1430d_images_1080_1440_mini.jpg,Rs. 8,999,None,women,http://www.myntra.com/Heels/Clarks/Clarks-Women-Brown-Lora-Beccles-Boots/198742/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair of boots from Clarks features a classic design and is a perfect addition to your shoe collection. Wear it with your smart casuals for a sophisticated and chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, brown boots with a zipped closure and high top styling<br/>Leather upper with stitched and overlay detail<br/>Zipped closure at the side and an elasticated insert near the mouth<br/>Tough and textured outsole with a chunky heel<br/>Warranty: 3 months</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/brown-smooth-leather-care">here</a> for the perfect care products for brown leather shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 3"</p></li></ul>,26:02:2014,None
