None,Coloressence Waterproof All Day Wear Mascara,http://www.myntra.com/Mascara/Coloressence/Coloressence-Waterproof-All-Day-Wear-Mascara/110095/buy,Rs. 255,women-cosmetics-perfumes,Cosmetics & Perfumes,Coloressence,http://myntra.myntassets.com/images/style/properties/Coloressence-Women-Mascara_8e0fc963ab982d6dea35cb7e18f5bc75_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Mascara/Coloressence/Coloressence-Waterproof-All-Day-Wear-Mascara/110095/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p><span class="st">This unique mascara by </span><span class="st">Color<span class="st">éssence</span><span class="st"><em></em></span> makes your eyes seductive and breath taking. Thicken your lashes, for a  dark yet natural look by adding volume and fullness to your eyelashes.</span><span class="st"><br/></span></p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Color<span class="st">éssence Waterproof All Day Wear Mascara</span><br/><span class="st">Waterproof, quick dry formula for a long lasting effect</span><br/><span class="st">Ideal for sensitive eyes, delivering a silky, lush colour while strengthening and protecting lashes<br/>Specially designed brush which enables a smooth, smudge proof and effective application without being harsh to your eyes<br/>Active ingredients: PVP-VA, Terminalia Chebula<br/></span><span class="st"><em></em></span></p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>15 ml</p></li></ul>,26:02:2014,None
None,Coloressence Nude Brown Mesmerising Lip Color 52,http://www.myntra.com/Lipstick/Coloressence/Coloressence-Nude-Brown-Mesmerising-Lip-Color-52/110150/buy,Rs. 150,women-cosmetics-perfumes,Cosmetics & Perfumes,Coloressence,http://myntra.myntassets.com/images/style/properties/Coloressence-Women-Lipstick_21a3d04659636a059045c57b4be0e25a_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Lipstick/Coloressence/Coloressence-Nude-Brown-Mesmerising-Lip-Color-52/110150/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Made with natural extracts the Coloressence mesmerising lip colours promise to add volume and protect your lips, leaving you looking beautiful all day long.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>A unique combination of coriander and basil extract<br/> This lip colour protects, nourishes, moisturises and is hypoallergenic<br/> Adds volume to your lips</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>4 g</p></li></ul>,26:02:2014,None
None,Coloressence Premia Choco Glame Lipstick 202,http://www.myntra.com/Lipstick/Coloressence/Coloressence-Premia-Choco-Glame-Lipstick-202/140598/buy,Rs. 250,women-cosmetics-perfumes,Cosmetics & Perfumes,Coloressence,http://myntra.myntassets.com/images/style/properties/Coloressence-Women-Lipstick_b35bf18a64f8dd45b8018f2a932360fb_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Lipstick/Coloressence/Coloressence-Premia-Choco-Glame-Lipstick-202/140598/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Colour your lips with Coloressence Premia lipstick for gorgeous lips. With unique moisture, shine and durable colour, it is perfect for everyday use.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Colouressence Premia has dazzling crystal effects, Vitamin E, jojoba oil and licorice extract that reduce lines, repair lips and also acts as a lip plumper</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>4 g</p></li></ul>,26:02:2014,None
None,Coloressence Ruby Rust Mesmerising Lip Color 33,http://www.myntra.com/Lipstick/Coloressence/Coloressence-Ruby-Rust-Mesmerising-Lip-Color-33/110155/buy,Rs. 150,women-cosmetics-perfumes,Cosmetics & Perfumes,Coloressence,http://myntra.myntassets.com/images/style/properties/Coloressence-Women-Lipstick_0c67ca79cdc472c874215ac325da31a0_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Lipstick/Coloressence/Coloressence-Ruby-Rust-Mesmerising-Lip-Color-33/110155/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Made with natural extracts the Coloressence mesmerising lip colours promise to add volume and protect your lips, leaving you looking beautiful all day long.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>A unique combination of coriander and basil extract<br/> This lip colour protects, nourishes, moisturises and is hypoallergenic<br/> Adds volume to your lips</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>4 g</p></li></ul>,26:02:2014,None
None,Coloressence Dual Phase Transparent Makeup Remover,http://www.myntra.com/Makeup-Remover/Coloressence/Coloressence-Dual-Phase-Transparent-Makeup-Remover/110096/buy,Rs. 245,women-cosmetics-perfumes,Cosmetics & Perfumes,Coloressence,http://myntra.myntassets.com/images/style/properties/Coloressence-Women-Makeup-Remover_321465f049f4a10b1f1fc6af8068b609_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Makeup-Remover/Coloressence/Coloressence-Dual-Phase-Transparent-Makeup-Remover/110096/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p><span class="st">Color<span class="st">éssence</span> </span><span class="st">Perfect Remover is a scientific revolution that makes the process of make up removal, fast, easy and complete with the state of the art dual phase oil free remover. Savour the perfection and softness of this ultimate product in removing deepest possible make up without any trace and irritation<br/></span></p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Color<span class="st">éssence </span><span class="st">Dual Phase Perfect Make-up Remover<br/>Oil Free<br/></span><span class="st"><em></em></span></p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>200 ml</p></li></ul>,26:02:2014,None
None,Coloressence Brown Eye Shadow,http://www.myntra.com/Eye-Shadow/Coloressence/Coloressence-Brown-Eye-Shadow/110107/buy,Rs. 200,women-cosmetics-perfumes,Cosmetics & Perfumes,Coloressence,http://myntra.myntassets.com/images/style/properties/Coloressence-Women-Eye-Shadow_5db2437fde49bfd08072eb913fa9eef9_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Eye-Shadow/Coloressence/Coloressence-Brown-Eye-Shadow/110107/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Coloressence Matte Eye Shadow has velvetty longer lasting shades with Vitamin E. Easy to apply with no smudging</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown eye shadow, has a matte  finish<br/> Active ingredients: Terminallia belerica extract, soyabean oil<br/> 100% vegetarian, no animal ingredients</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>3.5 g</p></li></ul>,26:02:2014,None
None,Coloressence Purple Eye Shadow,http://www.myntra.com/Eye-Shadow/Coloressence/Coloressence-Purple-Eye-Shadow/110116/buy,Rs. 200,women-cosmetics-perfumes,Cosmetics & Perfumes,Coloressence,http://myntra.myntassets.com/images/style/properties/Coloressence-Women-Eye-Shadow_ed772f280341181dcefb0cf554071e19_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Eye-Shadow/Coloressence/Coloressence-Purple-Eye-Shadow/110116/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Pearl finish eye shades from Coloressence gives pearly finish, satin smooth brilliance and base to the eyes.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Purple eye shadow, pearly finish<br/> Active Ingredients: Terminalia belerica extracts, soyabean oil with pearl finish effect<br/> 100% vegetarian, no animal ingredients</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>3.5 g</p></li></ul>,26:02:2014,None
None,Coloressence Primea Sweet Pink Lipstick 117,http://www.myntra.com/Lipstick/Coloressence/Coloressence-Primea-Sweet-Pink-Lipstick-117/110118/buy,Rs. 250,women-cosmetics-perfumes,Cosmetics & Perfumes,Coloressence,http://myntra.myntassets.com/images/style/properties/Coloressence-Women-Lipstick_c4bfc24efd54e7dbd5594a9f125c824d_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Lipstick/Coloressence/Coloressence-Primea-Sweet-Pink-Lipstick-117/110118/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Color<span class="st">éssence</span><span class="st"><em> </em>gives you a</span> dazzling crystal effects lipstick that cares for your lips as it colours. Rich in vitamin E, jojoba oil and licorice extract, this durable lipstick reduces lines, repairs lips and gives your lips a fuller look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Color<span class="st">éssence Sweet Pink Lipstick<br/>Unique moisture shine and durable colour<br/>100% vegetarian, no animal ingredients<br/><br/></span><span class="st"><em></em></span></p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>4 g</p></li></ul>,26:02:2014,None
None,Coloressence Spring Wine Lipstick 106,http://www.myntra.com/Lipstick/Coloressence/Coloressence-Spring-Wine-Lipstick-106/110129/buy,Rs. 250,women-cosmetics-perfumes,Cosmetics & Perfumes,Coloressence,http://myntra.myntassets.com/images/style/properties/Coloressence-Women-Lipstick_51de1ec341e8415a9395bf89efda1ce9_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Lipstick/Coloressence/Coloressence-Spring-Wine-Lipstick-106/110129/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Coloré  ssence gives you a dazzling crystal effect lipstick that cares for your lips as it colours. Rich in vitamin E, jojoba oil and licorice extract, this durable lipstick reduces lines, repairs lips and gives your lips a fuller look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Shade no: 106<br/>Wine coloured lipstick, comes in a silver case, roll up style<br/> Active ingredients: Vitamin E, jojoba oil and licorice extract<br/> 100% vegetarian, no animal ingredients</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>4 g</p></li></ul>,26:02:2014,None
None,Coloressence Bridal Kajal,http://www.myntra.com/Kajal/Coloressence/Coloressence-Bridal-Kajal/110099/buy,Rs. 99,women-cosmetics-perfumes,Cosmetics & Perfumes,Coloressence,http://myntra.myntassets.com/images/style/properties/Coloressence-Women-Kajal_c240c2063932b2819d4a8e7386c0d6fe_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Kajal/Coloressence/Coloressence-Bridal-Kajal/110099/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Ideal to relax your eyes, while the almond oil extract helps promote the strength of lashes, this bridal kajal from Coloressence is a must have part of your make up kit. Natural carbon helps in safeguarding your eyes giving the high definition you desire.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Bridal kajal is a state of the art eyeliner with a unique fast-dry formula that has a smooth flow and apt application which is water resistant and lasts all day without smudging or flaking</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>2.5 g</p></li></ul>,26:02:2014,None
