None,Orosilber Unisex Steel Toned Spanner Pendant,http://www.myntra.com/Pendant/Orosilber/Orosilber-Unisex-Steel-Toned-Spanner-Pendant/216273/buy,Rs. 351,women-jewellery,Jewellery,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Unisex-Pendant_dacffddd0e6807973467996f01d9e20e_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Pendant/Orosilber/Orosilber-Unisex-Steel-Toned-Spanner-Pendant/216273/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Orosilber brings this elite designer pendant, which is a part of the merchandise collection of the movie - Dhoom 3. This spanner shaped metallic pendant is artistically designed, which lets you make a bold style statement.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Steel toned, spanner shaped metallic pendant with matte finish<br/>Comes with a black cord<br/></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Brass alloy with matte finish<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of pendant: 6.5 cm<br/>Length of cord: 48 cm</p></li></ul>,26:02:2014,None
None,Orosilber Men Gunmetal Toned Ring,http://www.myntra.com/Ring/Orosilber/Orosilber-Men-Gunmetal-Toned-Ring/216260/buy,Rs. 850,women-jewellery,Jewellery,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Unisex-Ring_ad6a21b99668dd3ff35b799af9e72695_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Ring/Orosilber/Orosilber-Men-Gunmetal-Toned-Ring/216260/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This alluring ring for men from Orosilber works wonders to the personality of the wearer. It is carefully designed with a lovely finish to compliment your masculine vibe. We recommend you wear it with your casual wear.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gunmetal toned ring with a dull finish at the centre that has Dhoom 3 branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Stainless steel<br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Diameter: 2 cm</p></li></ul>,26:02:2014,None
None,Orosilber Unisex Steel Toned Pipe Wrench Pendant,http://www.myntra.com/Pendant/Orosilber/Orosilber-Unisex-Steel-Toned-Pipe-Wrench-Pendant/216275/buy,Rs. 351,women-jewellery,Jewellery,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Unisex-Pendant_2cf94ec540fcd65bf48ecf92042f60c0_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Pendant/Orosilber/Orosilber-Unisex-Steel-Toned-Pipe-Wrench-Pendant/216275/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Orosilber brings this elite designer pendant, which is a part of the merchandise collection of the movie - Dhoom 3. This pipe wrench shaped metallic pendant is artistically designed and lets you set a new trend.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Steel toned, pipe wrench shaped metallic pendant with matte finish<br/>Comes with a black cord</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Brass alloy with matt finish<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of pendant: 7 cm<br/>Length of cord: 48 cm</p></li></ul>,26:02:2014,None
None,Orosilber Unisex Steel Toned Spanner Pendant,http://www.myntra.com/Pendant/Orosilber/Orosilber-Unisex-Steel-Toned-Spanner-Pendant/216270/buy,Rs. 351,women-jewellery,Jewellery,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Unisex-Pendant_86adaafba871762553ddc73aaa62bf99_images_1080_1440.jpg,None,None,women,http://www.myntra.com/Pendant/Orosilber/Orosilber-Unisex-Steel-Toned-Spanner-Pendant/216270/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Orosilber brings this elite designer pendant, which is a part of the merchandise collection of the movie - Dhoom 3. This spanner shaped metallic pendant is artistically designed and lets you set a new trend.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Steel toned, spanner shaped metallic pendant with matte finish<br/>Comes with a black cord</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Brass alloy with matte finish<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of pendant: 6.5 cm<br/>Length of cord: 48 cm</p></li></ul>,26:02:2014,None
None,Orosilber Men Black Ring,http://www.myntra.com/Ring/Orosilber/Orosilber-Men-Black-Ring/216261/buy,Rs. 1,465,women-jewellery,Jewellery,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Unisex-Ring_43bb14bffc69f79951a4cdef6d24e1bd_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Ring/Orosilber/Orosilber-Men-Black-Ring/216261/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This alluring ring for men from Orosilber works wonders to the personality of the wearer. It is carefully designed with a lovely finish to compliment your masculine vibe. We recommend you wear it with your casual wear.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black ring with a faceted upper</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Tungstun<br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Diameter: 2 cm</p></li></ul>,26:02:2014,None
None,Orosilber Men Steel Toned Ring,http://www.myntra.com/Ring/Orosilber/Orosilber-Men-Steel-Toned-Ring/216262/buy,Rs. 850,women-jewellery,Jewellery,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Unisex-Ring_6b67a56515aee7e740e6ff7833a22150_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Ring/Orosilber/Orosilber-Men-Steel-Toned-Ring/216262/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This alluring ring for men from Orosilber works wonders to the personality of the wearer. It is carefully designed with a lovely finish to compliment your masculine vibe. We recommend you wear it with your casual wear.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Steel toned ring with a faceted upper</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Tungstun<br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Diameter: 2 cm</p></li></ul>,26:02:2014,None
None,Orosilber Men Silver Toned Ring,http://www.myntra.com/Ring/Orosilber/Orosilber-Men-Silver-Toned-Ring/216265/buy,Rs. 850,women-jewellery,Jewellery,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Unisex-Ring_0bc3296eabed4bf60b1e6c0bbe80b5ec_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Ring/Orosilber/Orosilber-Men-Silver-Toned-Ring/216265/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This alluring ring for men from Orosilber works wonders to the personality of the wearer. It is carefully designed with a lovely finish to compliment your masculine vibe. We recommend you wear it with your casual wear.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned ring with a textured upper</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Stainless steel<br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Diameter: 2 cm</p></li></ul>,26:02:2014,None
None,Orosilber Unisex Grey & Yellow Key Chain,http://www.myntra.com/Key-chain/Orosilber/Orosilber-Unisex-Grey-&-Yellow-Key-Chain/216253/buy,Rs. 149,women-jewellery,Jewellery,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Unisex-Key-chain_d21539467e0841a3cfbba33a637b5e6f_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Key-chain/Orosilber/Orosilber-Unisex-Grey-&-Yellow-Key-Chain/216253/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Orosilber brings this elite designer key chain for all Dhoom series fans. The unique Dhoom 3 logo is artistically designed in a way that lets the key chain do the talking.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Grey and yellow key chain, has Dhoom 3 logo and a loop to hold the keys<br/></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>PVC<br/>Wipe with a clean cotton swab when needed</p></li></ul>,26:02:2014,None
None,Orosilber Unisex Steel Toned Ring,http://www.myntra.com/Ring/Orosilber/Orosilber-Unisex-Steel-Toned-Ring/216259/buy,Rs. 2,250,women-jewellery,Jewellery,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Unisex-Ring_88cf16b9bd27129adb99099332145609_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Ring/Orosilber/Orosilber-Unisex-Steel-Toned-Ring/216259/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Orosilber brings this uber cool ring that matches your rough and careless attitude. With a unique screw-and-wheel-like detail, flaunt this amazing piece from the latest Dhoom 3 movie merchandise collection and walk like a star.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Steel toned ring with screw-and-wheel-like detail and has rotating edges<br/></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Stainless steel<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Diameter: 18 mm</p></li></ul>,26:02:2014,None
None,Orosilber Unisex Steel Toned Plier Pendant,http://www.myntra.com/Pendant/Orosilber/Orosilber-Unisex-Steel-Toned-Plier-Pendant/216274/buy,Rs. 351,women-jewellery,Jewellery,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Unisex-Pendant_3733f821f6d1bebcbf32dca080b3a7c6_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Pendant/Orosilber/Orosilber-Unisex-Steel-Toned-Plier-Pendant/216274/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Orosilber brings this elite designer pendant, which is a part of the merchandise collection of the movie - Dhoom 3. This plier shaped metallic pendant is artistically designed and lets you set a new trend.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Steel toned, plier shaped metallic pendant with matte finish<br/>Comes with a black cord</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Brass alloy with matte finish<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of pendant: 6.5 cm<br/>Length of cord: 48 cm</p></li></ul>,26:02:2014,None
