None,Neels Women Pink Printed Kurta,http://www.myntra.com/Kurtas/Neels/Neels-Women-Pink-Printed-Kurta/238667/buy,Rs. 559,women-kurtas-kurtis-suits,Kurtas,Neels,http://myntra.myntassets.com/images/style/properties/Neels-Women-Pink-Printed-Kurta_fcf1b924f27b26333efc856c5f7553f9_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Kurtas/Neels/Neels-Women-Pink-Printed-Kurta/238667/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Get a modern ethinc look with this kurta from Neels. Team it with contrast leggings, a perfect pair of heels and a trendy tote bag.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pink printed kurta, woven, has a stylised square neck with contrast piping and taping along the neckline, contrast printed panelling at chest, three quarter sleeves with panelled and printed cuffs, vented hem, contrast printed panneling at the front hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton<br/>Hand wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Neels Women Black Printed Anarkali Kurta,http://www.myntra.com/Kurtas/Neels/Neels-Women-Black-Printed-Anarkali-Kurta/225949/buy,Rs. 1,155,women-kurtas-kurtis-suits,Kurtas,Neels,http://myntra.myntassets.com/images/style/properties/Neels-Women-Kurtas_746a107713e56d2a6ccb72159bec02b6_images_1080_1440_mini.jpg,Rs. 1,359,None,women,http://www.myntra.com/Kurtas/Neels/Neels-Women-Black-Printed-Anarkali-Kurta/225949/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Everyday wear just got comfortable and classier with this Anarkali kurta by Neels. It's stylish, affordable and versatile. Team it with contrast coloured leggings, open-toed sandals and minimalistic jewellery for a chic ethnic look</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black, green and purple printed anarkali kurta, has a rounded V neck with contrast taping that extends across left chest in an angarakha style with a tie-up detail, contrast three quarter sleeves with contrast taping and printed panel at cuffs, contrast printed panel at chest and back, panelled and flared Anarkali silhouette from bust down, tie-up detail at back neck, contrast taping along hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Rayon<br/>Hand wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Neels Women Black Sleeveless Kurta,http://www.myntra.com/Kurtas/Neels/Neels-Women-Black-Sleeveless-Kurta/238664/buy,Rs. 899,women-kurtas-kurtis-suits,Kurtas,Neels,http://myntra.myntassets.com/images/style/properties/Neels-Women-Black-Sleeveless-Kurta_e09e3298d5bb38a0b44a61db40bc26c5_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Kurtas/Neels/Neels-Women-Black-Sleeveless-Kurta/238664/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Get a modern ethinc look with this kurta from Neels. Team it with contrast leggings, a perfect pair of heels and a trendy tote bag.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black kurta, woven, round neck with contrast golden piping, has a mock buttoned placket with contrast golden panelling, sleeveless with contrast golden piping along the arm holes, contrast panelled golden hem<br/>This product does not come with a belt</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Viscose<br/>Hand wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Neels Women White Lace Kurta,http://www.myntra.com/Kurtas/Neels/Neels-Women-White-Lace-Kurta/225966/buy,Rs. 639,women-kurtas-kurtis-suits,Kurtas,Neels,http://myntra.myntassets.com/images/style/properties/Neels-Women-Kurtas_c5ff654b8ae0d213ac1cc4c90889de5b_images_1080_1440_mini.jpg,Rs. 799,None,women,http://www.myntra.com/Kurtas/Neels/Neels-Women-White-Lace-Kurta/225966/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Tailored for a chic everyday look, this kurta from Neels is ideal for a casual evening out with your friends. Pair it with churidar leggings and sandals for a breezy look this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>White lace kurta, round neck with contrast taping and split V detail, long sleeves with contrast taping at cuffs, contrast panel at chest, contrast taping at front hem, has attached lining</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Polyester<br/>Hand wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Neels Women Yellow & Pink Printed Kurta,http://www.myntra.com/Kurtas/Neels/Neels-Women-Yellow-&-Pink-Printed-Kurta/238671/buy,Rs. 503,women-kurtas-kurtis-suits,Kurtas,Neels,http://myntra.myntassets.com/images/style/properties/Neels-Women-Yellow-&-Pink-Printed-Kurta_cdadecec99029986fb947492ba93834b_images_1080_1440_mini.JPG,Rs. 559,None,women,http://www.myntra.com/Kurtas/Neels/Neels-Women-Yellow-&-Pink-Printed-Kurta/238671/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Kurtas by Neels capture the myriad colours and tradition of craftsmanship in India, making them perfect for the contemporary Indian woman. Style this piece with tonal churidar leggings and mirror work sandals for an eclectic day look.<br/><br/></p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Yellow and pink woven kurta, V neckline with Contrast piping that extends to a tie-up detail at left chest, sleeveless with contrast piping along arm hole, printed chest panel, taping along vented hem<br/>Comes with additional sleeves inside<br/>The placement of print might vary slightly<br/><br/></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton<br/>Hand wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Neels Women Pink Floral Printed Anarkali Kurta,http://www.myntra.com/Kurtas/Neels/Neels-Women-Pink-Floral-Printed-Anarkali-Kurta/225944/buy,Rs. 1,155,women-kurtas-kurtis-suits,Kurtas,Neels,http://myntra.myntassets.com/images/style/properties/Neels-Women-Kurtas_e359be98d852c5e66ee84a5407f7e151_images_1080_1440_mini.jpg,Rs. 1,359,None,women,http://www.myntra.com/Kurtas/Neels/Neels-Women-Pink-Floral-Printed-Anarkali-Kurta/225944/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Everyday wear just got comfortable and classier with this Anarkali kurta by Neels. It's stylish, affordable and versatile. Team it with contrast coloured leggings, open-toed sandals and minimalistic jewellery for a chic ethnic look</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pink, purple and blue printed anarkali kurta, has a V neck with contrast  taping that extends across left chest in an angarakha style with a  tie-up detail, contrast three quarter sleeves with contrast taping and  printed panel at cuffs, contrast printed panel at chest and back,   panelled and flared Anarkali silhouette from bust down, tie-up detail at  back neck, printed panel and contrast taping along hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Rayon<br/>Hand wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Neels Women Blue Anarkali Kurta,http://www.myntra.com/Kurtas/Neels/Neels-Women-Blue-Anarkali-Kurta/225951/buy,Rs. 1,155,women-kurtas-kurtis-suits,Kurtas,Neels,http://myntra.myntassets.com/images/style/properties/Neels-Women-Kurtas_b3e6707bddba85770d7bf7bde7c93045_images_1080_1440_mini.jpg,Rs. 1,359,None,women,http://www.myntra.com/Kurtas/Neels/Neels-Women-Blue-Anarkali-Kurta/225951/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This piece from Neels is a perfect option for everyday wear. It has a simple yet stylish effect. Style it with drop earrings and colored leggings to complete the look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue and black anarkali kurta, round neck with mandarin collar at the back, three quarter sleeves with contrast taping at cuffs, contrast panel at chest, anarkali panel, contrast taping at hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Rayon<br/>Hand wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Neels Women Multi-Coloured Printed Kurta,http://www.myntra.com/Kurtas/Neels/Neels-Women-Multi-Coloured-Printed-Kurta/225970/buy,Rs. 509,women-kurtas-kurtis-suits,Kurtas,Neels,http://myntra.myntassets.com/images/style/properties/Neels-Women-Kurtas_0f4edd9653b15222472389f99ff84575_images_1080_1440_mini.jpg,Rs. 599,None,women,http://www.myntra.com/Kurtas/Neels/Neels-Women-Multi-Coloured-Printed-Kurta/225970/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Tailored for a chic everyday look, this kurta from Neels is ideal for a casual evening out with your friends. Pair it with churidar leggings and sandals for a breezy look this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Multi-coloured printed kurta, has a V neck with contrast binding and taping with stylised bead detail that extends across left chest, three quarter sleeves with contrast taping at cuffs, contrast piping at side slits, contrast taping at front hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton<br/>Hand wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Neels Women Green Floral Printed Anarkali Kurta,http://www.myntra.com/Kurtas/Neels/Neels-Women-Green-Floral-Printed-Anarkali-Kurta/225943/buy,Rs. 1,155,women-kurtas-kurtis-suits,Kurtas,Neels,http://myntra.myntassets.com/images/style/properties/Neels-Women-Kurtas_42a8b6aa99d0e26c098c1f0d7a334141_images_1080_1440_mini.jpg,Rs. 1,359,None,women,http://www.myntra.com/Kurtas/Neels/Neels-Women-Green-Floral-Printed-Anarkali-Kurta/225943/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Everyday wear just got comfortable and classier with this Anarkali kurta by Neels. It's stylish, affordable and versatile. Team it with contrast coloured leggings, open-toed sandals and minimalistic jewellery for a chic ethnic look</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green, red and yellow printed anarkali kurta, woven, has a mandarin collar with contrast  taping and piping along neckline, has three quarter length sleeves with  contrast taping at cuffs, contrast printed front and back, contrast  taping and piping along cut-out and inset panel at chest, seam at waist,  anarkali panels, contrast taping along curved hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Rayon<br/>Hand wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,Neels Women Orange Printed Anarkali Kurta,http://www.myntra.com/Kurtas/Neels/Neels-Women-Orange-Printed-Anarkali-Kurta/238666/buy,Rs. 1,169,women-kurtas-kurtis-suits,Kurtas,Neels,http://myntra.myntassets.com/images/style/properties/Neels-Women-Kurtas_2ef20a45a6114498160b9cc02b77c294_images_1080_1440_mini.jpg,Rs. 1,299,None,women,http://www.myntra.com/Kurtas/Neels/Neels-Women-Orange-Printed-Anarkali-Kurta/238666/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Everyday wear just got comfortable and classier with this Anarkali kurta by Neels. It's stylish, affordable and versatile. Team it with contrast coloured leggings, open-toed sandals and minimalistic jewellery for a chic ethnic look</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Orange printed anarkali kurta, woven, mandarin collar with contrast piping and insert panel at chest, taping and piping along insert panel, printed three quarter sleeves with contrast taping at cuffs, panelled and flared Anarkali silhouette from bust down, printed panel and contrast taping along hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Viscose<br/>Hand wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
