None,Rocia Women Black Heels,http://www.myntra.com/Heels/Rocia/Rocia-Women-Black-Heels/196749/buy,Rs. 790,women-sandals-wedges,Wedges,Rocia,http://myntra.myntassets.com/images/style/properties/Rocia-Women-Flip-Flops_4bb0cdc01f33f73a437c8f5c19e38ad2_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/Rocia/Rocia-Women-Black-Heels/196749/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Revamp your style with this chic pair of sandals from Rocia. We recommend that you team this pair with ethnic clothes for a stylish look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, black sandals with slip-on styling<br/>Synthetic upper with thong style strap, has a steel toned metal accent on the toe separator<br/>Textured footbed with branding at the heel<br/>Tough and textured outsole with slightly raised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height-1.5"</p></li></ul>,26:02:2014,None
None,Rocia Women Black Sandals,http://www.myntra.com/Heels/Rocia/Rocia-Women-Black-Sandals/196746/buy,Rs. 790,women-sandals-wedges,Wedges,Rocia,http://myntra.myntassets.com/images/style/properties/Rocia-Women-Flip-Flops_94109c02cea2081ac64210ade94c0647_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/Rocia/Rocia-Women-Black-Sandals/196746/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Step out in style with this trendy pair of sandals from Rocia. Wear it with your casual ensembles for a day out.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, black sandals with slip-on styling<br/>Synthetic thong style upper<br/>Smooth, printed footbed with branding at the heel<br/>Tough outsole with a textured wedge heel<br/>Warranty: 3 months from the date of purchase</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 1.5"</p></li></ul>,26:02:2014,None
None,Rocia Women Black Sandals,http://www.myntra.com/Heels/Rocia/Rocia-Women-Black-Sandals/94383/buy,Rs. 1,490,women-sandals-wedges,Wedges,Rocia,http://myntra.myntassets.com/images/style/properties/Rocia-Women-Black-Sandals_a0d43a8b6e7226c8ac94186f11c17a04_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/Rocia/Rocia-Women-Black-Sandals/94383/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['2', '4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>No wardrobe is complete without the perfect pair of wedges, and we love Rocia's collection, crafted with a striking weave detailed wedge heel. Partner yours with a printed dress to see you from city lunch dates to evening garden parties.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pointed-toed sandals, has a thong style upper and a forefoot strap<br/>Cushioned footbed with branding on it<br/>Wedge heel with weave patterns<br/>Tough outsole<br/>Warranty: 1 month from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 3&amp;  rdquo</p></li></ul>,26:02:2014,None
None,Rocia Women Gold Sandals,http://www.myntra.com/Heels/Rocia/Rocia-Women-Gold-Sandals/92945/buy,Rs. 1,490,women-sandals-wedges,Wedges,Rocia,http://myntra.myntassets.com/images/style/properties/Rocia-Women-Gold-Coloured-Sandals_af65c411ecc7e11a9f18a2a9a9ad9878_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/Rocia/Rocia-Women-Gold-Sandals/92945/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair from Rocia is a stunning pair, perfect as a complement to gorgeous ethnic outfits. What tips the balance for us when it comes to this pair from Rocia is the step away from white stones and use of amber coloured and molten honey reflecting sto</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold, open toed, slip on sandals with mini wedge heels<br/> Thong style upper with amber and gold coloured stone embellishments on the strap<br/> Smooth red footbed<br/> Tough outsole with a textured heel patch</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel Height: 1.2&amp;  rdquo</p></li></ul>,26:02:2014,None
None,Rocia Women Brown Sandals,http://www.myntra.com/Heels/Rocia/Rocia-Women-Brown-Sandals/192593/buy,Rs. 1,390,women-sandals-wedges,Wedges,Rocia,http://myntra.myntassets.com/images/style/properties/Rocia-Women-Brown-Sandals_dc9dd138e1fa815aff7156d244cd5d1b_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/Rocia/Rocia-Women-Brown-Sandals/192593/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted from quality material, this pair of sandals from Rocia, is simple, stylish and provides comfort. Team it with a flowy skirt and top for a girly look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, brown sandals with slip-on styling<br/>Synthetic thong style upper, with elasticated ankle loop for a comfortable fit<br/>Smooth, textured footbed with branding at the heel<br/>Tough and textured outsole, with wedge heels<br/>Warranty: 3 months against manufacturing defects (not valid on products under discount or promotional offer)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 3"</p></li></ul>,26:02:2014,None
None,Rocia Women Silver Sandals,http://www.myntra.com/Heels/Rocia/Rocia-Women-Silver-Sandals/123111/buy,Rs. 1,990,women-sandals-wedges,Wedges,Rocia,http://myntra.myntassets.com/images/style/properties/Rocia-Women-Heels_66758ea7e18cc5e20e7bdc49c4b28e73_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/Rocia/Rocia-Women-Silver-Sandals/123111/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This trendy pair from Rocia is all about feminine elegance. Impeccable  design and plush materials ensure unparalleled comfort all day long. Go ethnic and team it with churidar suits or leggings and kurtis.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, silver sandals with slip-on styling<br/>Has a thong style upper embellished with crystals and silver toned metallic beads<br/>Cushioned footbed with branding at heel<br/>TPU outsole, has a wedge heel with textured patterns on the sides<br/>Warranty: 3 months from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2"</p></li></ul>,26:02:2014,None
None,Rocia Women Gold Sandals,http://www.myntra.com/Heels/Rocia/Rocia-Women-Gold-Sandals/123112/buy,Rs. 1,990,women-sandals-wedges,Wedges,Rocia,http://myntra.myntassets.com/images/style/properties/Rocia-Women-Heels_0a93b3c3decd555d8a5e7945e9565c90_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/Rocia/Rocia-Women-Gold-Sandals/123112/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This trendy pair from Rocia is all about feminine elegance. Impeccable  design and plush materials ensure unparalleled comfort all day long. Go ethnic and team it with churidar suits or leggings and kurtis.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, gold sandals with slip-on styling<br/>Has a thong style upper embellished with crystals and gold toned metallic beads<br/>Cushioned footbed with branding at heel<br/>TPU outsole, has a wedge heel with textured patterns on the sides<br/>Warranty: 3 months from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2"</p></li></ul>,26:02:2014,None
None,Rocia Women Black Sandals,http://www.myntra.com/Heels/Rocia/Rocia-Women-Black-Sandals/110851/buy,Rs. 990,women-sandals-wedges,Wedges,Rocia,http://myntra.myntassets.com/images/style/properties/Rocia-Women-Black-Sandals_558070bea877405c320375750d32fa82_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/Rocia/Rocia-Women-Black-Sandals/110851/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Rocia glams up your everyday ensembles with this classy pair of black sandals. Team them up with leggings and tunics or a salwar  kameez for a stylish ethnic makeover!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, wedge heeled, black sandals with slip on styling<br/>Has a thong style upper with a broad midfoot strap; silver braid, star and bead detail on the strap; and toe loop with braid detail<br/>Cushioned footbed with branding at the heel region<br/>Wedge heel with braid patterns<br/>Textured rubber outsole<br/>Warranty: 3 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heels: 2.5 inches</p></li></ul>,26:02:2014,None
None,Rocia Women Black & Blue Sandals,http://www.myntra.com/Heels/Rocia/Rocia-Women-Black-&-Blue-Sandals/130669/buy,Rs. 790,women-sandals-wedges,Wedges,Rocia,http://myntra.myntassets.com/images/style/properties/Rocia-Women-Black-&-Blue-Sandals_265eed5d2d2fed508c0599cfbc6b86f4_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/Rocia/Rocia-Women-Black-&-Blue-Sandals/130669/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair of sandals from Rocia is stylish and comfortable at the same time. Team these with a short dress for a lunch date with friends.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, black and blue sandals with slip-on styling<br/>Has a black forefoot strap, a midfoot strap which loops over the forefoot strap and has stripe patterns in off-white and blue<br/>Cushioned footbed with branding at the heel<br/>Tough outsole with wedge heels<br/>Warranty: <span style="color: #000000; font-family: arial, sans, sans-serif; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: pre-wrap; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;">3 months against manufacturing defects</span></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Use a dry cloth to clean</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2"</p></li></ul>,26:02:2014,None
None,Rocia Women Brown Peep Toes,http://www.myntra.com/Heels/Rocia/Rocia-Women-Brown-Peep-Toes/134212/buy,Rs. 1,790,women-sandals-wedges,Wedges,Rocia,http://myntra.myntassets.com/images/style/properties/Rocia-Women-Brown-Heels_89b54a9a179afd44236fdd78216caeb7_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/Rocia/Rocia-Women-Brown-Peep-Toes/134212/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>In a versatile brown shade, these stylish peep toes from Rocia are perfect for transitional style. Fab with skinny jeans, maxi skirts and sundresses this is a must-have this season</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown peep toes with synthetic upper, low tops and slip-on styling<br/>Soft and padded footbed with branding at the heel<br/>Tough outsole with grooves and a wedge heel<br/>Warranty: 3 months from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a dry cloth to clean</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.7"</p></li></ul>,26:02:2014,None
