None,Q&Q Attractive Women White Dial Watch,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-White-Dial-Watch/107060/buy,Rs. 1,465,women-watches,Watches,Q&Q,http://myntra.myntassets.com/images/style/properties/Q&Q-Attractive-Women-White-Dial-Watch_240de819d85e98a19346e8ea504edf2c_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-White-Dial-Watch/107060/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A classic watch with a glamorous twist and the elegance of white, Q&amp; Q sure knows how to make it stand out. We recommend that you team it with casuals at an evening do.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analog watch with a stainless steel, ion plated case, embedded crystal detail around the dial<br/>Dial  style: White dial with steel hour marks, alternate hour marks have sparkle detail, steel coloured hands and branding on the dial<br/>Strap style: White strap with tang clasp<br/>Features: Screw to reset time<br/>Water resistant up to 3 Bar<br/>Warranty: 1 year</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Case Diameter: 33 mm<br/>Case Thickness: 5 mm</p></li></ul>,26:02:2014,None
None,Q&Q Women White Dial Watch,http://www.myntra.com/Watches/Q&Q/Q&Q-Women-White-Dial-Watch/200241/buy,Rs. 1,211,women-watches,Watches,Q&Q,http://myntra.myntassets.com/images/style/properties/Q&Q-Women-White-Dial-Watch_7f0307fa0b36ce22bb770788b3f6d9e3_images_1080_1440_mini.jpg,Rs. 1,425,None,women,http://www.myntra.com/Watches/Q&Q/Q&Q-Women-White-Dial-Watch/200241/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>If you're ever wondering what you should accessorise your new outfit with, we suggest opting for a Q&amp;Q watch. Style and good looks are the payoff and a second look, is guaranteed with this piece.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel rectangular case<br/> Dial style: White dial, steel toned hands and markings, branding and graphic detail on the dial<br/>Features: Screw to reset the time<br/> Strap style: White leather strap with printed and cut-out detail<br/> Water resistance: 5 BAR<br/> Warranty: 1 year from the date of purchase</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial dimensions: 25 mm x 40 mm<br/>Dial width: 30 mm</p></li></ul>,26:02:2014,None
None,Q&Q Attractive Women Pink Dial Watch,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-Pink-Dial-Watch/38027/buy,Rs. 1,211,women-watches,Watches,Q&Q,http://myntra.myntassets.com/images/style/properties/032efac5d011fa8bc7b4e6b527afe208_images_1080_1440_mini.jpg,Rs. 1,345,None,women,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-Pink-Dial-Watch/38027/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This watch from Q&amp; Q beats boring, classic looks with a fresh take on glamour. Crystal studded and a bright orange dial make it the perfect evening wear accessory.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case Style: Analog watch with a stainless steel back and round case, is studded with crystals around he dial<br/> Dial Style: Pink dial with a striped detail that converges in the centre, branding on the dial and steel coloured hour marks and hands<br/> Features: Screw to reset time<br/> Strap Style: Pink coloured strap with a tang clasp and holes to customise fit<br/> Water resistant up to 3 BAR<br/> Warranty: 1 year</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Case Diameter: 37 mm<br/> Case Thickness: 4 mm</p></li></ul>,26:02:2014,None
None,Q&Q Women White Dial Watch,http://www.myntra.com/Watches/Q&Q/Q&Q-Women-White-Dial-Watch/200236/buy,Rs. 657,women-watches,Watches,Q&Q,http://myntra.myntassets.com/images/style/properties/Q&Q-Women-White-Dial-Watch_a6083dd7dc1d5ac60434a5177e38986f_images_1080_1440_mini.jpg,Rs. 1,095,None,women,http://www.myntra.com/Watches/Q&Q/Q&Q-Women-White-Dial-Watch/200236/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>If you are looking for a fashion accessory to jazz up your outfit, search no more and trust this watch from Q&amp;Q. Team this wrist piece with a pair of jeans and T-shirt and you are sure to earn a million compliments.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel, circular case, has a rotating bezel with markings<br/>Dial style: White dial, pink and white hands and markings, branding at the 12 and 6 hour mark<br/>Features: Screw to reset time<br/>Strap style: Pink, synthetic strap with an adjustable tang clasp closure<br/>Water resistant up to 50 meters<br/>Comes in a signature Q&amp;Q case<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width : 37 mm<br/>Strap width: 16 mm</p></li></ul>,26:02:2014,None
None,Q&Q Attractive Women White & Silver Toned Dial Watch,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-White-&-Silver-Toned-Dial-Watch/206657/buy,Rs. 1,706,women-watches,Watches,Q&Q,http://myntra.myntassets.com/images/style/properties/Q&Q-Attractive-Women-White-&-Silver-Toned-Dial-Watch_712ce741cd09cf532f62a6e125d0dbb9_images_1080_1440_mini.jpg,Rs. 1,895,None,women,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-White-&-Silver-Toned-Dial-Watch/206657/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>With versatile designs, Q&amp;Q's range of watches are perfect to add a distinctive edge to your look. Keep time in style with this sleek piece!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel, circular case, has a fixed bezel with white accents and crystal embellishments<br/>Dial style: White and silver toned dial, silver toned hands with white accents, silver toned markings, and branding at the 12 hour mark<br/>Features: Screw to reset the time<br/>Strap style: Textured white silicone strap with a tang clasp closure<br/>Water resistant up to 50 metres<br/>Comes in a signature Q&amp;Q case<br/>Warranty: 1 year from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 40 mm<br/>Strap width: 18 mm</p></li></ul>,26:02:2014,None
None,Q&Q Women Silver Toned Dial Watch,http://www.myntra.com/Watches/Q&Q/Q&Q-Women-Silver-Toned-Dial-Watch/144444/buy,Rs. 923,women-watches,Watches,Q&Q,http://myntra.myntassets.com/images/style/properties/Q&Q-Women-Silver-Toned-Dial-Watch_e3f815f4b019bf9c0f9c40d1762822fb_images_1080_1440_mini.jpg,Rs. 1,025,None,women,http://www.myntra.com/Watches/Q&Q/Q&Q-Women-Silver-Toned-Dial-Watch/144444/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>In sync with the season's hues, this watch from Q&amp;Q will add a stylish touch to your look. Wear it and show off your impeccable style sense.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel round case<br/> Dial style: Silver toned dial with white and black hands, glittery heart print on the dial<br/>Features: Branding on the dial, screw to reset time<br/> Strap style: White strap with a tang clasp<br/> Water resistance: Up to 3 BAR<br/> Warranty: 1 year<br/> Comes with a Q&amp;Q signature case</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Case Diameter: 38 mm<br/> Case Thickness: 8 mm</p></li></ul>,26:02:2014,None
None,Q&Q Women Pearly White Dial Watch,http://www.myntra.com/Watches/Q&Q/Q&Q-Women-Pearly-White-Dial-Watch/206642/buy,Rs. 1,553,women-watches,Watches,Q&Q,http://myntra.myntassets.com/images/style/properties/Q&Q-Women-Pearly-White-Dial-Watch_946e8986ef7d2b1e5caa654560a63ed3_images_1080_1440_mini.jpg,Rs. 1,725,None,women,http://www.myntra.com/Watches/Q&Q/Q&Q-Women-Pearly-White-Dial-Watch/206642/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This wrist watch by Q&amp;Q comes at an affordable price. Designed with a classy look and for versatile use, it'll will be a great accessory to wear everyday.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel circular case, has fixed bezel with studded detail<br/>Dial style: Pearly white and steel toned dial with textured detail, steel toned hands with white inlay, steel toned markings, ion plated, branding on the dial<br/>Features: Screw to reset the time<br/>Strap style: White, silicone strap with an adjustable tang clasp closure<br/>Water resistance: Up to 50 m<br/>Comes in a signature Q&amp;Q case<br/>Warranty: 1 year from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 38 mm<br/>Strap width: 18 mm</p></li></ul>,26:02:2014,None
None,Q&Q Attractive Women Brown Dial Watch,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-Brown-Dial-Watch/106967/buy,Rs. 1,706,women-watches,Watches,Q&Q,http://myntra.myntassets.com/images/style/properties/Q&Q-Attractive-Women-Brown-Dial-Watch_38919f869eb3f08e51e7cd3dc632e7bd_images_1080_1440_mini.jpg,Rs. 1,895,None,women,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-Brown-Dial-Watch/106967/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A golden touch, toned down by the dominant use brown, this is as understated as it gets when it comes to glamour. This watch from Q&amp;Q simply stands out. The tasteful use of crystal and sparkle make it feminine and befitting to the name of the collection - Attractive.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analog watch with a stainless steel ion plated round case, has crystal detail on the sides of the case set in gold coloured border<br/>Dial style: Brown dial with a concentric pattern, has gold and white coloured hands, sparkle detail at hour marks and branding on the dial<br/>Strap style: Brown textured strap with a tang clasp<br/>Features: Screw to reset time<br/>Water resistant up to 5 Bar<br/>Warranty: 1 year</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Case Diameter: 42 mm<br/>Case Thickness: 6 mm</p></li></ul>,26:02:2014,None
None,Q&Q Women Blue Dial Watch,http://www.myntra.com/Watches/Q&Q/Q&Q-Women-Blue-Dial-Watch/206621/buy,Rs. 716,women-watches,Watches,Q&Q,http://myntra.myntassets.com/images/style/properties/Q&Q-Women-Blue-Dial-Watch_afcaa0d3624b549026bac9aa49be59e5_images_1080_1440_mini.jpg,Rs. 795,None,women,http://www.myntra.com/Watches/Q&Q/Q&Q-Women-Blue-Dial-Watch/206621/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a classic tone to your appearance with this watch from Q&amp; Q. This timepiece can be worn with all your casual outfits.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with circular stainless steel case<br/>Dial style: Blue dial with silver toned and white hands, has silver toned and black markings, branding below 12 hour mark<br/>Features: Screw to reset the time<br/>Strap style: Textured blue leather strap with a tang clasp closure<br/>Water resistant up to 30 metres<br/>Comes in a signature Q&amp; Q case<br/>Warranty: 1 year</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 20.3 mm<br/>Strap width: 14 mm</p></li></ul>,26:02:2014,None
None,Q&Q Attractive Women Pink Dial Watch,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-Pink-Dial-Watch/107054/buy,Rs. 1,436,women-watches,Watches,Q&Q,http://myntra.myntassets.com/images/style/properties/Q&Q-Women-Watches_67c26c59f375348ad5a621d6ed0fa0f9_images_1080_1440_mini.jpg,Rs. 1,595,None,women,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-Pink-Dial-Watch/107054/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A classic watch with a glamorous twist, Q&amp; Q sure knows how to make it stand out. The unusual pink dial and strap adds to the aesthetic. The tasteful use of crystal and sparkle makes it party wear ready.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analog watch with a stainless steel, ion plated case, has embedded crystal detail around the dial<br/>Dial  style: Pink dial with steel and white hands, steel hour marks with sparkle detail and branding on the dial<br/>Strap style: Pink strap with tang clasp<br/>Features: Screw to reset time<br/>Water resistant up to 3 Bar<br/>Warranty: 1 year</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Case Diameter: 37 mm<br/>Case Thickness: 6 mm</p></li></ul>,26:02:2014,None
None,Q&Q Attractive Women White & Silver Toned Dial Watch,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-White-&-Silver-Toned-Dial-Watch/206659/buy,Rs. 1,976,women-watches,Watches,Q&Q,http://myntra.myntassets.com/images/style/properties/Q&Q-Attractive-Women-White-&-Silver-Toned-Dial-Watch_727017605ebd8696a2b828f1e392c66e_images_1080_1440_mini.jpg,Rs. 2,195,None,women,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-White-&-Silver-Toned-Dial-Watch/206659/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>With versatile designs, Q&amp;Q's range of watches are perfect to add a distinctive edge to your look. Keep time in style with this sleek piece!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel, circular case, has a fixed bezel with gold toned and white accents and crystal embellishments<br/>Dial style: White and silver toned dial, gold toned hands with white accents, gold toned markings, and branding at the 12 hour mark<br/>Features: Screw to reset the time<br/>Strap style: Textured white silicone strap with a tang clasp closure<br/>Water resistant up to 50 metres<br/>Comes in a signature Q&amp;Q case<br/>Warranty: 1 year from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 40 mm<br/>Strap width: 18 mm</p></li></ul>,26:02:2014,None
None,Q&Q Women Pink Watch,http://www.myntra.com/Watches/Q&Q/Q&Q-Women-Pink-Watch/38030/buy,Rs. 1,256,women-watches,Watches,Q&Q,http://myntra.myntassets.com/images/style/properties/ca09890ba148f844fb283a4bef5f641d_images_1080_1440_mini.jpg,Rs. 1,395,None,women,http://www.myntra.com/Watches/Q&Q/Q&Q-Women-Pink-Watch/38030/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This watch from Q&amp;Q beats boring, classic looks with a fresh take on glamour. Crystal studded and a pink dial make it the perfect evening wear accessory.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case Style: Analog watch with a stainless steel back and rectangular case, is studded with crystals around the dial<br/> Dial Style: Shiny pink dial with an intricate pattern on the dial, has steel coloured hour marks and hands<br/> Features: Screw to reset time<br/> Strap Style: Pink coloured strap with a tang clasp and holes to customise fit<br/> Water resistant up to 3 BAR<br/> Warranty: 1 year</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p><br/></p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Case Dimesionsr: 36 mm x 40 mm<br/> Case Thickness: 9 mm</p></li></ul>,26:02:2014,None
None,Q&Q Attractive Women White Dial Watch,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-White-Dial-Watch/206664/buy,Rs. 1,769,women-watches,Watches,Q&Q,http://myntra.myntassets.com/images/style/properties/Q&Q-Women-White-Dial-Watch_2fd2c3564979062104065a1d45ea3423_images_1080_1440_mini.jpg,Rs. 1,965,None,women,http://www.myntra.com/Watches/Q&Q/Q&Q-Attractive-Women-White-Dial-Watch/206664/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>With versatile designs, Q&amp;Q's range of watches are perfect to add a distinctive edge to your look. Keep time in style with this sleek piece!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel circular case, fixed bezel with markings<br/>Dial style: White, textured dial, steel toned and white hands and markings, studded quarterly markings, branding on the dial<br/>Features: Screw to reset time<br/>Strap style: White synthetic strap with steel toned highlights and an adjustable tang clasp closure<br/>Water resistance: Up to 50 m<br/>Comes in a signature Q&amp;Q case<br/>Warranty: 1 year from the date of purchase</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 38 mm<br/>Strap width: 16 mm</p></li></ul>,26:02:2014,None
