None,Ayesha Men Brown Leather Bracelet,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Brown-Leather-Bracelet/215760/buy,Rs. 498,men-jewellery,Jewellery,Ayesha,http://myntra.myntassets.com/images/style/properties/Ayesha-Men-Bracelet_6533b946bc8ef057f20c9570c2ea8989_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Brown-Leather-Bracelet/215760/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stylish men are sure to enjoy the edgy element added to their look by this leather bracelet from Ayesha. Wear this with any casual attire, with your favourite jeans and a grungy T-shirt, to look effortlessly cool.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown leather bracelet, braided detail with rectangular metal beads at equal distances and metal button with loop closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal &amp; leather<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 23 cm (approximate)</p></li></ul>,25:02:2014,None
None,Ayesha Men Brown Bracelet,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Brown-Bracelet/76981/buy,Rs. 298,men-jewellery,Jewellery,Ayesha,http://myntra.myntassets.com/images/style/properties/Ayesha-Men-Brown-Bracelet_321c2faef2160450b75385311770ff3b_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Brown-Bracelet/76981/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stylish men are sure to enjoy the edgy element added to their look by this leather bracelet from Ayesha. Wear this with your casual attire - with your favourite jeans and a grungy T-shirt, to look effortlessly cool.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown leather cuff style <a href="../bracelet">bracelet</a> with metallic embellishments and buttoned closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 7 cm (approximate)</p></li></ul>,25:02:2014,None
None,Ayesha Men Brown Leather Bracelet,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Brown-Leather-Bracelet/99105/buy,Rs. 190,men-jewellery,Jewellery,Ayesha,http://myntra.myntassets.com/images/style/properties/Ayesha-Men-Bracelet_e6d0f2d47cb277522bf795ac44682cc0_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Brown-Leather-Bracelet/99105/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Ayesha brings you this leather bracelet that will surely be an ideal addition to your casual wear accessory collection.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Three strand leather bracelet with a metal button and loop closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Wipe with a clean dry cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 20 cm (approximate)</p></li></ul>,25:02:2014,None
None,Ayesha Men Copper Pendant With Chain,http://www.myntra.com/Pendant/Ayesha/Ayesha-Men-Copper-Pendant-With-Chain/99108/buy,Rs. 290,men-jewellery,Jewellery,Ayesha,http://myntra.myntassets.com/images/style/properties/Ayesha-Men-Necklace_803ab74f95e3f29c5e5bd71c07a5c171_images_1080_1440_mini.JPG,None,None,men,http://www.myntra.com/Pendant/Ayesha/Ayesha-Men-Copper-Pendant-With-Chain/99108/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A perfect accessory to complete a casual or grunge look, this dog tag neck piece from Ayesha is a definite must have in your closet.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Copper coloured dog tag pendant with smaller hanging metal detailing, leather and metallic chain with a lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal, leather<br/> Wipe with a clean dry cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of the chain: 44 cm (approximate)</p></li></ul>,25:02:2014,None
None,Ayesha Men Black Leather Bracelet,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Black-Leather-Bracelet/76979/buy,Rs. 298,men-jewellery,Jewellery,Ayesha,http://myntra.myntassets.com/images/style/properties/Ayesha-Mens-Black-Leather-Bracelet_425221c71b9e348313d4970d2378c079_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Black-Leather-Bracelet/76979/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stylish men are sure to enjoy the edgy element added to their look by this leather bracelet from Ayesha. Wear this with your casual attire - with your favourite jeans and a grungy T-shirt, to look effortlessly cool.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black leather cuff styled <a href="../bracelet">bracelet</a> with round silver detailing and adjustable buttoned closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 23 cm (approximate)</p></li></ul>,25:02:2014,None
None,Ayesha Men Silver Circular Peace Necklace,http://www.myntra.com/Necklace/Ayesha/Ayesha-Men-Silver-Circular-Peace-Necklace/63359/buy,Rs. 290,men-jewellery,Jewellery,Ayesha,http://myntra.myntassets.com/images/style/properties/Ayesha-Men-Silver-Circular-Peace-Pendant_54108e0c172b241f7d7e3ef796037a46_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Necklace/Ayesha/Ayesha-Men-Silver-Circular-Peace-Necklace/63359/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stylish men are sure to enjoy the edgy element added to their look by this leather necklace from Ayesha. Wear this with your casual attire - with your favourite jeans and a grungy T-shirt, to look effortlessly cool.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown leather, adjustable <a href="../necklace">necklace</a> with a silver coloured circular and small golden coloured peace <a href="../pendant">pendant</a></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather, pewter<br/> Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 54 cm (approximate)</p></li></ul>,25:02:2014,None
None,Ayesha Men Brown Leather Cuff,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Brown-Leather-Cuff/76977/buy,Rs. 398,men-jewellery,Jewellery,Ayesha,http://myntra.myntassets.com/images/style/properties/Ayesha-Men-s-Brown-Leather-Cuff_1076b11ce9d34a0498d260546b7236fe_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Brown-Leather-Cuff/76977/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stylish men are sure to enjoy the edgy element added to their look by this leather bracelet from Ayesha. Wear this with your casual attire - with your favourite jeans and a grungy T-shirt, to look effortlessly cool.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown leather cuff style <a href="../bracelet">bracelet</a> with flat metallic beads and a metallic buttoned closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 23 cm (approximate)</p></li></ul>,25:02:2014,None
None,Ayesha Men's Brown Leather Key chain,http://www.myntra.com/Key-chain/Ayesha/Ayesha-Men's-Brown-Leather-Key-chain/76968/buy,Rs. 290,men-jewellery,Jewellery,Ayesha,http://myntra.myntassets.com/images/style/properties/Ayesha-Mens-Brown-Leather-Key-chain_7d60896ea8a2b01ab6d80ea5cac8671a_images_1080_1440.jpg,None,None,men,http://www.myntra.com/Key-chain/Ayesha/Ayesha-Men's-Brown-Leather-Key-chain/76968/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Worried about keys being scattered around? This key chain from Ayesha helps you keep all your keys secure and in style! With its exquisite, suave design you're sure to turn a few heads everytime you stretch for your keys.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown leather <a href="/key-chain">key chain</a> with silver beaded detailing and a loop to secure keys</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather, beads<br/>Wipe with a dry cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 12 cm</p></li></ul>,25:02:2014,None
None,Ayesha Men Brown Bracelet,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Brown-Bracelet/76983/buy,Rs. 448,men-jewellery,Jewellery,Ayesha,http://myntra.myntassets.com/images/style/properties/Ayesha-Men-Brown-Bracelet_1d85f34fe773d668a03b939351743a8c_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Brown-Bracelet/76983/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stylish men are sure to enjoy the edgy element added to their look by this leather bracelet from Ayesha. Wear this with your casual attire - with your favourite jeans and a grungy T-shirt, to look effortlessly cool.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown leather cuff style <a href="../bracelet">bracelet</a> with interwoven <a href="../chain">chain</a> styled links and buttoned closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 6.5 cm (approximate)</p></li></ul>,25:02:2014,None
None,Ayesha Men Necklace,http://www.myntra.com/Necklace/Ayesha/Ayesha-Men-Necklace/63358/buy,Rs. 293,men-jewellery,Jewellery,Ayesha,http://myntra.myntassets.com/images/style/properties/Ayesha-Men-Wood-&-Steel-Necklace_f29286fbc4cf43fb612552dea545e174_images_1080_1440_mini.jpg,Rs. 390,None,men,http://www.myntra.com/Necklace/Ayesha/Ayesha-Men-Necklace/63358/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This wood and silver metallic beaded necklace from Ayesha is perfect for you rugged nature lovers out there. Wear it with casual kurtas and shorts with slip-ons for a boho look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Wood and silver metallic beaded <a href="../necklace">necklace</a>, has a button and loop closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Wood and metallic beads<br/> Wipe with a clean, dry cloth when required</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 49 cm (approximate)</p></li></ul>,25:02:2014,None
None,Ayesha Men Brown Plaited Leather Bracelet,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Brown-Plaited-Leather-Bracelet/99107/buy,Rs. 240,men-jewellery,Jewellery,Ayesha,http://myntra.myntassets.com/images/style/properties/Ayesha-Men-Bracelet_070a01599bb8f7775a2aea71423e4b68_images_1080_1440_mini.JPG,None,None,men,http://www.myntra.com/Bracelet/Ayesha/Ayesha-Men-Brown-Plaited-Leather-Bracelet/99107/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Ayesha brings you this plaited leather bracelet that will surely be an ideal addition to your casual wear accessory collection.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown plaited leather bracelet with a lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Wipe with a clean dry cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 19 cm (approximate)</p></li></ul>,25:02:2014,None
