None,SKINN Titan Women Imera Perfume,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Imera-Perfume/250031/buy,Rs. 1,790,women-cosmetics-perfumes,Cosmetics & Perfumes,SKINN,http://myntra.myntassets.com/images/style/properties/SKINN-Titan-Women-Imera-Perfume_6d6881fbc37506127dcaaf0cf635535a_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Imera-Perfume/250031/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>The allure of a woman lies in subtle, yet unmistakable sensuality. This perfume from SKINN Titan reinforces this with intriguing hints of white vineyard peach and Bulgarian rose, with enduring traces of javanol and patachouli.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Comes in an elegant glass flask with a spray nozzle</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>100 ml</p></li></ul>,25:02:2014,None
None,SKINN Titan Women Celeste Perfume,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Celeste-Perfume/250034/buy,Rs. 990,women-cosmetics-perfumes,Cosmetics & Perfumes,SKINN,http://myntra.myntassets.com/images/style/properties/SKINN-Titan-Women-Celeste-Perfume_576c37707d349ed1092655a46cd6e30b_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Celeste-Perfume/250034/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This perfume from SKINN Titan is a celebration of a woman's beautiful complexity. Mandarin and grapefruit capture joyful spontaneity, while the nectars of orange flower, jasmine and water lily evoke a sense of mystery. Amber, apricot, patchouli and musk sing odes to her eternal luminosity.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Comes in an elegant glass flask with a spray nozzle</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>50 ml</p></li></ul>,25:02:2014,None
None,SKINN Titan Women Nude Perfume,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Nude-Perfume/250036/buy,Rs. 990,women-cosmetics-perfumes,Cosmetics & Perfumes,SKINN,http://myntra.myntassets.com/images/style/properties/SKINN-Titan-Women-Nude-Perfume_28d4ff16af9676842496f6e4af565366_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Nude-Perfume/250036/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This perfume from SKINN Titan is the journey of romance. The first blush brings on the fruity notes of lychee and raspberry. Rose and violet deepen the infatuation. A whiff of musk, sandalwood and Tonka beans; and the seduction is complete.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Comes in an elegant glass flask with a spray nozzle</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>50 ml</p></li></ul>,25:02:2014,None
None,SKINN Titan Women Celeste Perfume,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Celeste-Perfume/250033/buy,Rs. 1,790,women-cosmetics-perfumes,Cosmetics & Perfumes,SKINN,http://myntra.myntassets.com/images/style/properties/SKINN-Titan-Women-Celeste-Perfume_1022a9083fff2a3b268dd95dab5b93e6_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Celeste-Perfume/250033/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This perfume from SKINN Titan is a celebration of a woman's beautiful complexity. Mandarin and grapefruit capture joyful spontaneity, while the nectars of orange flower, jasmine and water lily evoke a sense of mystery. Amber, apricot, patchouli and musk sing odes to her eternal luminosity.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Comes in an elegant glass flask with a spray nozzle</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>100 ml</p></li></ul>,25:02:2014,None
None,SKINN Titan Women Nude Perfume,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Nude-Perfume/250035/buy,Rs. 1,790,women-cosmetics-perfumes,Cosmetics & Perfumes,SKINN,http://myntra.myntassets.com/images/style/properties/SKINN-Titan-Women-Nude-Perfume_73e14e5411dcae592ea188fd56c997a1_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Nude-Perfume/250035/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This perfume from SKINN Titan is the journey of romance. The first blush brings on the fruity notes of lychee and raspberry. Rose and violet deepen the infatuation. A whiff of musk, sandalwood and Tonka beans; and the seduction is complete.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Comes in an elegant glass flask with a spray nozzle</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>100 ml</p></li></ul>,25:02:2014,None
None,SKINN Titan Women Celeste Perfume,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Celeste-Perfume/250033/buy,Rs. 1,790,women-cosmetics-perfumes,Cosmetics & Perfumes,SKINN,http://myntra.myntassets.com/images/style/properties/SKINN-Titan-Women-Celeste-Perfume_1022a9083fff2a3b268dd95dab5b93e6_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Celeste-Perfume/250033/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This perfume from SKINN Titan is a celebration of a woman's beautiful complexity. Mandarin and grapefruit capture joyful spontaneity, while the nectars of orange flower, jasmine and water lily evoke a sense of mystery. Amber, apricot, patchouli and musk sing odes to her eternal luminosity.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Comes in an elegant glass flask with a spray nozzle</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>100 ml</p></li></ul>,25:02:2014,None
None,SKINN Titan Women Nude Perfume,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Nude-Perfume/250035/buy,Rs. 1,790,women-cosmetics-perfumes,Cosmetics & Perfumes,SKINN,http://myntra.myntassets.com/images/style/properties/SKINN-Titan-Women-Nude-Perfume_73e14e5411dcae592ea188fd56c997a1_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Nude-Perfume/250035/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This perfume from SKINN Titan is the journey of romance. The first blush brings on the fruity notes of lychee and raspberry. Rose and violet deepen the infatuation. A whiff of musk, sandalwood and Tonka beans; and the seduction is complete.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Comes in an elegant glass flask with a spray nozzle</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>100 ml</p></li></ul>,25:02:2014,None
None,SKINN Titan Women Imera Perfume,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Imera-Perfume/250031/buy,Rs. 1,790,women-cosmetics-perfumes,Cosmetics & Perfumes,SKINN,http://myntra.myntassets.com/images/style/properties/SKINN-Titan-Women-Imera-Perfume_6d6881fbc37506127dcaaf0cf635535a_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Imera-Perfume/250031/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>The allure of a woman lies in subtle, yet unmistakable sensuality. This perfume from SKINN Titan reinforces this with intriguing hints of white vineyard peach and Bulgarian rose, with enduring traces of javanol and patachouli.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Comes in an elegant glass flask with a spray nozzle</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>100 ml</p></li></ul>,25:02:2014,None
None,SKINN Titan Women Nude Perfume,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Nude-Perfume/250036/buy,Rs. 990,women-cosmetics-perfumes,Cosmetics & Perfumes,SKINN,http://myntra.myntassets.com/images/style/properties/SKINN-Titan-Women-Nude-Perfume_28d4ff16af9676842496f6e4af565366_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Nude-Perfume/250036/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This perfume from SKINN Titan is the journey of romance. The first blush brings on the fruity notes of lychee and raspberry. Rose and violet deepen the infatuation. A whiff of musk, sandalwood and Tonka beans; and the seduction is complete.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Comes in an elegant glass flask with a spray nozzle</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>50 ml</p></li></ul>,25:02:2014,None
None,SKINN Titan Women Celeste Perfume,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Celeste-Perfume/250034/buy,Rs. 990,women-cosmetics-perfumes,Cosmetics & Perfumes,SKINN,http://myntra.myntassets.com/images/style/properties/SKINN-Titan-Women-Celeste-Perfume_576c37707d349ed1092655a46cd6e30b_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/Perfumes/SKINN/SKINN-Titan-Women-Celeste-Perfume/250034/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This perfume from SKINN Titan is a celebration of a woman's beautiful complexity. Mandarin and grapefruit capture joyful spontaneity, while the nectars of orange flower, jasmine and water lily evoke a sense of mystery. Amber, apricot, patchouli and musk sing odes to her eternal luminosity.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Comes in an elegant glass flask with a spray nozzle</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>50 ml</p></li></ul>,25:02:2014,None
