None,Zuicy Women Coral Red Leather Ballerinas,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Coral-Red-Leather-Ballerinas/204223/buy,Rs. 899,women-footwear-new-arrivals,Footwear,Zuicy,http://myntra.myntassets.com/images/style/properties/Zuicy-Women-Flats_590abe8d6043c5cedc5d3a7e5d019491_images_1080_1440_mini.jpg,Rs. 1,295,None,women,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Coral-Red-Leather-Ballerinas/204223/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Keep it simple and sweet this season by flaunting this cool pair of shoes from Zuicy. Perfect for everyday wear, it is designed to keep you comfortable all day long. Wear it with your casual outfits for an instant style boost.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, coral red ballerinas with low top and slip-on styling<br/>Textured leather upper with a bow detail at the forefoot<br/>Cushioned footbed with branding at the heel<br/>Durable rubber outsole with patterned grooves and slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Wipe with a branded leather conditioner to clean<br/>Click <a href="http://www.myntra.com/other-smooth-leather-care">here</a> for the perfect care products for leather shoes</p></li></ul>,25:02:2014,None
None,Zuicy Women Blue Sandals,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Blue-Sandals/151948/buy,Rs. 749,women-footwear-new-arrivals,Footwear,Zuicy,http://myntra.myntassets.com/images/style/properties/Zuicy-Women-Flats_915f5068fd99e7b93e7a80c1e4eb3558_images_1080_1440_mini.jpg,Rs. 1,095,None,women,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Blue-Sandals/151948/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Keep it simple and sweet this season by flaunting this pretty pair of sandals from Zuicy. Perfect for everyday wear, it is designed to keep you comfortable all day long. Wear it with your casual outfits for an instant style boost.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, faded blue sandals with slip-on styling<br/>Has a thong strap with metallic stud detail and stitched patterns<br/>Green, cushioned footbed with stitched detail and branding at the heel<br/>Durable, tough outsole with a slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Canvas<br/> Wipe with a clean, dry cloth when needed</p></li></ul>,25:02:2014,None
None,Zuicy Women Yellow Leather Ballerinas,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Yellow-Leather-Ballerinas/204226/buy,Rs. 899,women-footwear-new-arrivals,Footwear,Zuicy,http://myntra.myntassets.com/images/style/properties/Zuicy-Women-Flats_0cc4b6959126de9793c9b4d835b23c75_images_1080_1440_mini.jpg,Rs. 1,295,None,women,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Yellow-Leather-Ballerinas/204226/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Keep it simple and sweet this season by flaunting this cool pair of shoes from Zuicy. Perfect for everyday wear, it is designed to keep you comfortable all day long. Wear it with your casual outfits for an instant style boost.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, yellow ballerinas with low top and slip-on styling<br/>Textured leather upper with a bow detail at the forefoot<br/>Cushioned footbed with branding at the heel<br/>Durable rubber outsole with patterned grooves and slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Wipe with a branded leather conditioner to clean<br/>Click <a href="http://www.myntra.com/other-smooth-leather-care">here</a> for the perfect care products for leather shoes</p></li></ul>,25:02:2014,None
None,Zuicy Women Off-White & Brown Animal Print Flat Shoes,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Off-White-&-Brown-Animal-Print-Flat-Shoes/151945/buy,Rs. 899,women-footwear-new-arrivals,Footwear,Zuicy,http://myntra.myntassets.com/images/style/properties/Zuicy-Women-Flats_44ff48e7957498b77adcec67afb9964a_images_1080_1440_mini.jpg,Rs. 1,595,None,women,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Off-White-&-Brown-Animal-Print-Flat-Shoes/151945/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Keep it simple and sweet this season by flaunting this cool pair of shoes from Zuicy. Perfect for everyday wear, it is designed to keep you comfortable all day long. Wear it with your casual outfits for an instant style boost.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pointed toed, off-white and brown shoes with low tops and slip-on styling<br/>Has a leather upper with animal print patterns<br/>Cushioned footbed with branding at the heel<br/>Durable, tough outsole with a slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Wipe with a clean, dry cloth when needed</p></li></ul>,25:02:2014,None
None,Zuicy Women Pink Leather Ballerinas,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Pink-Leather-Ballerinas/204224/buy,Rs. 899,women-footwear-new-arrivals,Footwear,Zuicy,http://myntra.myntassets.com/images/style/properties/Zuicy-Women-Pink-Leather-Ballerinas_cc1fb0865eaa2a27704481c6d60e0fea_images_1080_1440_mini.jpg,Rs. 1,295,None,women,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Pink-Leather-Ballerinas/204224/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Keep it simple and sweet this season by flaunting this cool pair of shoes from Zuicy. Perfect for everyday wear, it is designed to keep you comfortable all day long. Wear it with your casual outfits for an instant style boost.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, pink ballerinas with low top and slip-on styling<br/>Textured leather upper with a bow detail at the forefoot<br/>Cushioned footbed with branding at the heel<br/>Durable rubber outsole with patterned grooves and slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Wipe with a branded leather conditioner to clean<br/>Click <a href="http://www.myntra.com/other-smooth-leather-care">here</a> for the perfect care products for leather shoes</p></li></ul>,25:02:2014,None
None,Zuicy Women Red Sandals,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Red-Sandals/151949/buy,Rs. 749,women-footwear-new-arrivals,Footwear,Zuicy,http://myntra.myntassets.com/images/style/properties/Zuicy-Women-Flats_9ee3595075f7e2b490432c97b63d1a43_images_1080_1440_mini.jpg,Rs. 1,095,None,women,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Red-Sandals/151949/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Step out in style with this trendy pair of sandals from Zuicy. The stylish upper is crafted keeping your fashion quotient in mind, while the soft footbed promises to keep you comfortable all day long. It is versatile and can be paired with casual, ethnic or Indo-Western outfits.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, red thong style sandals with slip-on styling<br/>The straps have stitched detail<br/>Soft, padded footbed with stitch detailing and branding at the heel<br/>Durable, tough outsole with slightly upraised heel and textured at the forefoot region</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic leather<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,25:02:2014,None
None,Zuicy Women Blue Sandals,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Blue-Sandals/151947/buy,Rs. 749,women-footwear-new-arrivals,Footwear,Zuicy,http://myntra.myntassets.com/images/style/properties/Zuicy-Women-Flats_9a08efc46b11daba7ac051607173d85c_images_1080_1440_mini.jpg,Rs. 1,095,None,women,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Blue-Sandals/151947/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Keep it simple and sweet this season by flaunting this pretty pair of sandals from Zuicy. Perfect for everyday wear, it is designed to keep you comfortable all day long. Wear it with your casual outfits for an instant style boost.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, faded blue sandals with slip-on styling<br/>Has a thong strap with metallic stud detail and stitched patterns<br/>Green, cushioned footbed with stitched detail and branding at the heel<br/>Durable, tough outsole with a slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Canvas<br/> Wipe with a clean, dry cloth when needed</p></li></ul>,25:02:2014,None
None,Zuicy Women Black Leather Ballerinas,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Black-Leather-Ballerinas/204222/buy,Rs. 899,women-footwear-new-arrivals,Footwear,Zuicy,http://myntra.myntassets.com/images/style/properties/Zuicy-Women-Flats_a6c3fc951c5ab78cadb7ff0dcb6303f8_images_1080_1440_mini.jpg,Rs. 1,295,None,women,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Black-Leather-Ballerinas/204222/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Keep it simple and sweet this season by flaunting this cool pair of shoes from Zuicy. Perfect for everyday wear, it is designed to keep you comfortable all day long. Wear it with your casual outfits for an instant style boost.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, black ballerinas with low top and slip-on styling<br/>Textured leather upper with a bow detail at the forefoot<br/>Cushioned footbed with branding at the heel<br/>Durable rubber outsole with patterned grooves and slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Wipe with a branded leather conditioner to clean<br/>Click <a href="http://www.myntra.com/black-smooth-leather-care">here</a> for the perfect care products for black leather shoes</p></li></ul>,25:02:2014,None
None,Zuicy Women Black & Brown Animal Print Flat Shoes,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Black-&-Brown-Animal-Print-Flat-Shoes/151946/buy,Rs. 899,women-footwear-new-arrivals,Footwear,Zuicy,http://myntra.myntassets.com/images/style/properties/Zuicy-Women-Flats_8e256df46c1763739be856c6cb50599b_images_1080_1440_mini.jpg,Rs. 1,595,None,women,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Black-&-Brown-Animal-Print-Flat-Shoes/151946/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Keep it simple and sweet this season by flaunting this cool pair of shoes from Zuicy. Perfect for everyday wear, it is designed to keep you comfortable all day long. Wear it with your casual outfits for an instant style boost.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pointed toed, black and brown shoes with white accents, low tops and slip-on styling<br/>Has a leather upper with animal print patterns<br/>Cushioned footbed with branding at the heel<br/>Durable, tough outsole with a slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Wipe with a clean, dry cloth when needed</p></li></ul>,25:02:2014,None
None,Zuicy Women Yellow Leather Ballerinas,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Yellow-Leather-Ballerinas/204226/buy,Rs. 899,women-footwear-new-arrivals,Footwear,Zuicy,http://myntra.myntassets.com/images/style/properties/Zuicy-Women-Flats_0cc4b6959126de9793c9b4d835b23c75_images_1080_1440_mini.jpg,Rs. 1,295,None,women,http://www.myntra.com/Flats/Zuicy/Zuicy-Women-Yellow-Leather-Ballerinas/204226/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Keep it simple and sweet this season by flaunting this cool pair of shoes from Zuicy. Perfect for everyday wear, it is designed to keep you comfortable all day long. Wear it with your casual outfits for an instant style boost.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, yellow ballerinas with low top and slip-on styling<br/>Textured leather upper with a bow detail at the forefoot<br/>Cushioned footbed with branding at the heel<br/>Durable rubber outsole with patterned grooves and slightly upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/> Wipe with a branded leather conditioner to clean<br/>Click <a href="http://www.myntra.com/other-smooth-leather-care">here</a> for the perfect care products for leather shoes</p></li></ul>,25:02:2014,None
