None,Esprit Women Silver Toned Dial Watch,http://www.myntra.com/Watches/ESPRIT/Esprit-Women-Silver-Toned-Dial-Watch/212345/buy,Rs. 10,795,women-watches,Watches,ESPRIT,http://myntra.myntassets.com/images/style/properties/Esprit-Women-Silver-Toned-Dial-Watch_8b347cb3293445ea9fbf9d531f33f469_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/ESPRIT/Esprit-Women-Silver-Toned-Dial-Watch/212345/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>For the woman of class and style, Esprit brings to you one of its stylish inventions - this elegant watch. The crystal embellishments give it a dainty look while the beautiful structure makes it every diva's favourite.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel back, has a circular case with crystal embellishments on the sides, fixed bezel with crystal embellishments<br/>Dial style: Silver toned dial, has steel toned hour and minute hands with white inlay, steel toned seconds hand, steel toned markings, branding near 12 hour mark<br/>Features: Screw to reset time, date aperture at 4 and 5 hour marking<br/>Strap style: Black textured leather strap with a tang clasp<br/>Water resistance up to 30 m<br/>Comes in an Esprit signature case<br/>Warranty: 2 years local warranty against defects in material and workmanship</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>LEATHER</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 35 mm<br/>Strap width: 20 mm</p></li></ul>,25:02:2014,None
None,ESPRIT Women Pearly White Dial Watch,http://www.myntra.com/Watches/ESPRIT/ESPRIT-Women-Pearly-White-Dial-Watch/232868/buy,Rs. 7,295,women-watches,Watches,ESPRIT,http://myntra.myntassets.com/images/style/properties/ESPRIT-Women-Pearly-White-Dial-Watch_cee8808760f3de8bec25ce4ba1095f6f_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/Watches/ESPRIT/ESPRIT-Women-Pearly-White-Dial-Watch/232868/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This wrist watch by ESPRIT comes in line with the latest style and trend. The exquisite design and classic colour scheme allows you to pair this piece with formal and casual ensembles alike.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with steel toned circular case, has a textured fixed bezel and stainless steel back<br/>Dial style: Pearly white dial with markings and steel toned hands, branding at the 6 hour mark<br/>Features: Screw to reset the time<br/>Strap style: Steel toned, metal bracelet style strap, secured with a fold over clasp<br/>Water resistant<br/>Comes in a signature ESPRIT case<br/>Warranty: 2 years from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 30 mm<br/>Strap width: 14 mm</p></li></ul>,25:02:2014,None
None,Esprit Women Black & Off-White Dial Watch,http://www.myntra.com/Watches/ESPRIT/Esprit-Women-Black-&-Off-White-Dial-Watch/212347/buy,Rs. 8,795,women-watches,Watches,ESPRIT,http://myntra.myntassets.com/images/style/properties/Esprit-Women-White-and-Black-Dial-Watch_cd26f001836bf44bc1b8b68fedb26ac3_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/ESPRIT/Esprit-Women-Black-&-Off-White-Dial-Watch/212347/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Flaunt this timeless piece from Esprit with style.It makes you look attractive and suits your fashion needs. The stylish dial and textured strap will add charm to your persona.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel back, has a silver toned circular case with crystal embellishments on it<br/>Dial style: Black and off-white dial, has silver toned hour and minute hands with white inlays, silver toned seconds hand and silver toned markings, branding near the 6 hour mar<br/>Features: Date aperture at the 3 hour mark and screw to reset the time<br/>Strap style: Black textured leather strap with an adjustable tang clasp<br/>Water resistance up to 30 m<br/>Comes in a signature Espirit case<br/>Warranty: 2 years local warranty against defects in material and workmanship</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial Width: 40mm<br/>Strap Width: 17mm</p></li></ul>,25:02:2014,None
None,ESPRIT Women White Dial Watch,http://www.myntra.com/Watches/ESPRIT/ESPRIT-Women-White-Dial-Watch/212384/buy,Rs. 6,795,women-watches,Watches,ESPRIT,http://myntra.myntassets.com/images/style/properties/ESPRIT-Women-White-Dial-Watch_6d5097754c35a45d6d547b73f73977b7_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/ESPRIT/ESPRIT-Women-White-Dial-Watch/212384/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This intricately designed watch from ESPRIT is sure to enchant you. Pair it with your favourite tee and flaunt your personal style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel rectangular case<br/>Dial style: White textured dial, has silver toned hands and markings, and branding on the 6 hour mark<br/>Features: Screw to reset time<br/>Strap style: Brown leather strap with woven detail and a tang clasp <br/>Water resistance: Up to 3 ATM<br/>Comes with an ESPRIT watch signature case<br/>Warranty: 2 years local warranty against defects in material and workmanship</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial dimensions: 30 mm x 15 mm<br/>Strap width: 14 mm</p></li></ul>,25:02:2014,None
None,ESPRIT Women Gold Toned Dial Watch,http://www.myntra.com/Watches/ESPRIT/ESPRIT-Women-Gold-Toned-Dial-Watch/212375/buy,Rs. 10,295,women-watches,Watches,ESPRIT,http://myntra.myntassets.com/images/style/properties/ESPRIT-Women-Gold-Toned-Dial-Watch_f5c44117d96fe564ad20f59e20739c54_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/ESPRIT/ESPRIT-Women-Gold-Toned-Dial-Watch/212375/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add to your collection, this elegant watch from ESPRIT. With tasteful design and unique style, this is sure to spruce up your look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel square case<br/>Dial style: Gold toned dial, has gold toned hands and markings, and branding on the 6 hour mark<br/>Features: Screw to reset time<br/>Strap style: Metal, bracelet strap with a fold over clasp<br/>Water resistance: Up to 3 ATM<br/>Comes in an ESPRIT watch signature case<br/>Warranty: 2 years local warranty against defects in material and workmanship</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial dimensions: 20 mm x 20 mm <br/>Strap width: 20 mm</p></li></ul>,25:02:2014,None
None,ESPRIT Women Silver Dial Watch,http://www.myntra.com/Watches/ESPRIT/ESPRIT-Women-Silver-Dial-Watch/212352/buy,Rs. 10,795,women-watches,Watches,ESPRIT,http://myntra.myntassets.com/images/style/properties/Esprit-Women-Metal-Watch_bf2b037bc2a2c6a971aedf5753e0b7c3_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/ESPRIT/ESPRIT-Women-Silver-Dial-Watch/212352/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted with finesse, this ESPRIT watch is every watch collector's dream. Accessorise your look and add class with this exclusive timepiece for those cocktail hours, weekend escapes, date nights or power lunches.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch has a stainless steel rectangular case with crystal studded embellishment on the dial<br/>Dial style: Silver toned dial, steel hands and hour markings, branding at the 6 hour mark<br/>Features: Screw to reset time<br/>Strap style: Metal bracelet style strap with crystal embellishments enclosed with a fold over clasp<br/>Water resistant<br/>Comes in a ESPRIT signature case<br/>Warranty: 2 years limited warranty</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial dimension: 33 mm x 17 mm<br/>Strap width: 17 mm</p></li></ul>,25:02:2014,None
None,Esprit Women Off-White Dial Watch,http://www.myntra.com/Watches/ESPRIT/Esprit-Women-Off-White-Dial-Watch/212340/buy,Rs. 8,795,women-watches,Watches,ESPRIT,http://myntra.myntassets.com/images/style/properties/Esprit-Women-Silver-Toned-Dial-Watch_0dc657cd6e4011914c9dc2295eb6150d_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/ESPRIT/Esprit-Women-Off-White-Dial-Watch/212340/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Make an impression with this gorgeous and fashionable, bracelet style watch from Espirit. Wrap it around your wrist and be ready to garner all the attention.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel back, has a rectangular case, branding at the right side of the bezel<br/>Dial style: Pearly off-white dial, has two, silver toned hands and markings<br/>Features: Screw to reset the time<br/>Strap style: Silver toned bracelet style strap with intricate details and a foldover clasp<br/>Water resistance up to 30 m<br/>Comes in a signature Espirit case<br/>Warranty: 2 years local warranty against defects in material and workmanship</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dimensions:36mm x 20mm<br/>Strap Width: 33mm</p></li></ul>,25:02:2014,None
None,ESPRIT Women Gold Toned & White Dial Watch,http://www.myntra.com/Watches/ESPRIT/ESPRIT-Women-Gold-Toned-&-White-Dial-Watch/232874/buy,Rs. 10,995,women-watches,Watches,ESPRIT,http://myntra.myntassets.com/images/style/properties/ESPRIT-Women-Gold-Toned-and-White-Dial-Watch_35b329fa02c33428e1c55fca1b63d0f0_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/ESPRIT/ESPRIT-Women-Gold-Toned-&-White-Dial-Watch/232874/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This wrist watch by ESPRIT comes in line with the latest style and trend. Its exquisite design and classic colour scheme allows you to pair this piece with formal and casual ensembles alike.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with gold toned circular case, has a fixed bezel with stone studded detail and stainless steel back<br/>Dial style: Gold toned and white textured dial, has gold toned markings, gold toned hour and minute hands with white inlay,and gold toned seconds hand, branding at the 6 hour mark<br/>Features: Screw to reset the time, date aperture at the 3 hour mark<br/>Strap style: Gold toned, metal, bracelet style strap, secured with a butterfly clasp<br/>Water resistant<br/>Comes in a signature ESPRIT case<br/>Warranty: 2 years from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 39 mm<br/>Strap width: 18 mm</p></li></ul>,25:02:2014,None
None,Esprit Women Cream Toned & Off-White Dial Watch,http://www.myntra.com/Watches/ESPRIT/Esprit-Women-Cream-Toned-&-Off-White-Dial-Watch/212348/buy,Rs. 8,795,women-watches,Watches,ESPRIT,http://myntra.myntassets.com/images/style/properties/Esprit-Women-White-and-Cream-Dial-Watch_e33fbb5b28390fa61a8e25612c24a67e_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/ESPRIT/Esprit-Women-Cream-Toned-&-Off-White-Dial-Watch/212348/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Flaunt this timeless piece from Esprit with style.It makes you look attractive and suits your fashion needs. The studded dial and stylish strap will add charm to your persona.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel back, has a  silver toned circular case studded details <br/>Dial style: Cream toned and off-white dial, has silver toned hour and minute hands with white inlays, silver toned seconds hand and silver toned markings, branding near the 6 hour mark<br/>Features: Date aperture at the 3 hour mark and screw to reset the time<br/>Strap style: Beige coloured textured leather strap with an adjustable tang clasp<br/>Water resistance up to 30 m<br/>Comes in a signature Espirit case<br/>Warranty: 2 years local warranty against defects in material and workmanship</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial Width: 40mm<br/>Strap Width: 17mm</p></li></ul>,25:02:2014,None
None,ESPRIT Women Brown Dial Watch,http://www.myntra.com/Watches/ESPRIT/ESPRIT-Women-Brown-Dial-Watch/232897/buy,Rs. 7,995,women-watches,Watches,ESPRIT,http://myntra.myntassets.com/images/style/properties/ESPRIT-Women-Brown-Dial-Watch_6f16e621145112ce0cfefd5bea86d194_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/ESPRIT/ESPRIT-Women-Brown-Dial-Watch/232897/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A fashion accessory that is sure to redefine your style statement is this watch from ESPRIT. You can team this timepiece with your formal or casual outfit for a fashionable look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel circular case, has a fixed bezel with stones encrusted<br/>Dial style: Brown dial with branding below the 12 hour mark, rose gold toned hands, rose gold toned and white markings<br/>Features: Date display at the 3 hour mark, screw to reset the time<br/>Strap style: Brown, silicone strap with a tang clasp and two loops<br/>Water resistant up to 100 m<br/>Comes in a signature ESPRIT case<br/>Warranty: 2 years from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 35 mm<br/>Strap width: 18 mm</p></li></ul>,25:02:2014,None
None,Esprit Women Black Dial Watch,http://www.myntra.com/Watches/ESPRIT/Esprit-Women-Black-Dial-Watch/212351/buy,Rs. 10,795,women-watches,Watches,ESPRIT,http://myntra.myntassets.com/images/style/properties/Esprit-Women-Black-Dial-Watch_d78fa09f154c7365f600ba32e20d895c_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/ESPRIT/Esprit-Women-Black-Dial-Watch/212351/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>For the woman of class and style, Esprit brings you one of its most stylish inventions. The crystal embellishments gives it a dainty look while the beautiful metal structure makes the timepeice every diva's favourite.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel back, has a stylised rectangular case<br/>Dial style: Black dial, has steel toned hands, steel toned markings, branding near 6 hour mark<br/>Features: Screw to reset time<br/>Strap style: Steel toned bracelet strap with crystal embellishments near dial, has a fold-over clasp<br/>Water resistance up to 30 m<br/>Comes in an Esprit signature case<br/>Warranty: 2 years local warranty against defects in material and workmanship</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>METAL</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 30 mm X 20 mm<br/>Strap width: 20 mm</p></li></ul>,25:02:2014,None
